fist_phrase	reply
С агаром я работала в первый раз, делала всё строго по рецепту, но у меня не весь компот желировался, на дне было немного жидкости. Наверное, к Вас агар сильнее моего, в следующий раз попробую добавить агара чуть больше, надеюсь не испорчу Да,агар-он ведь разный, но сильно много не перебарщивай с агаром,прям чуток совсем добавь, чтобы не забить вкус.	Если на дне было немного жидкости, подержи чуть больше в холодильнике, и да,лучше креманку, как справа на фото,не клади горизонтально на стол,а то есть вероятность, что может не выдержать масса и на стол плюхнется-у меня такое как-то было, потом ложечкой желешку прям со стола и ела, ну ничего так, зато прикольно было Спасибо за фото,Олечка!
Да,агар-он ведь разный, но сильно много не перебарщивай с агаром,прям чуток совсем добавь, чтобы не забить вкус.	Много не буду класть, добавлю на кончике ножа, посмотрю, как застынет
Если на дне было немного жидкости, подержи чуть больше в холодильнике	У меня креманки несколько часов стояли в холодильнике, я днём желе сварила, а вечером мы его съели
лучше креманку, как справа на фото,не клади горизонтально на стол,а то есть вероятность, что может не выдержать масса и на стол плюхнется-у меня такое как-то было, потом ложечкой желешку прям со стола и ела, ну ничего так, зато прикольно было	Спасибо! Больше не буду. Я даже не подумала, что желе может выпасть, хотела сделать фото покрасивее
Много не буду класть, добавлю на кончике ножа, посмотрю, как застынет	У меня креманки несколько часов стояли в холодильнике, я днём желе сварила, а вечером мы его съели
У меня креманки несколько часов стояли в холодильнике, я днём желе сварила, а вечером мы его съели	Это нормальное время, чтобы желе застыло.
Спасибо! Больше не буду. Я даже не подумала, что желе может выпасть, хотела сделать фото покрасивее	Ага, знакомая картина.
А на мои вопросы не ответил....	А уже ж сказали.
Иваныч, скажите пожалуйста - 3 кг. груш уже в очищенном виде или ещё не подготовленных? ...	Мы брали 3 кг вообще груш.
Только вот один вопрос - когда застывает получается твердо или не очень?	"Акс, у меня обычно получается так: темный слой застывает до состояния плотного шоколада, а белый получается более мягким, как сливочное масло ""средней крепкости"" (не знаю, как выразиться точнее). Ну и желатин еще придает белому слою некоторую упругость (которая в темном слое почти не ощущается). На своем опыте могу сказать, что все зависит от шоколада, каждый раз получается чуть-чуть по разному. Но мне все равно нравится"
у меня получился больше похож на шоколадное желе	Выглядит красивенько! гирл_цлапинг:
но у меня получился больше похож на шоколадное желе	...но ТАКОЙ красивый!!!
но у меня получился больше похож на шоколадное желе, наверное в следующий раз меньше молока возьму	Оксаночка, а красиво-то как вышло!
Классный вариант шоколадки! Беру в закладки!	Мариночка, на здоровье!
А зачем желатин там вообще нужен	"Ольга, дело в том, что с желатином ""шоколадное тесто"" (если можно так выразиться ) получается более упругим (но не пружинит как резина - это нам ни к чему), а также не трескается при застывании и не ломается в крошки, когда начинаешь его кромсать ложечкой. Я пробовала сначала делать без желатина - получается то, да не то...."
мне если чесно на вкус не очень	"Олечка, так ведь ""на вкус и цвет..."" Но не попробовав, ведь не узнаешь, понравится тебе или нет, правда? У меня тоже так бывает - приглянулся рецепт, сделала - а результат совсем не впечатлил... ну ничего, ищем дальше!"
ну ничего-я сильно не растроилась что попробовала	Ну вот и хорошо!
Очень вкусный десерт!!!	Очень рада, что понравилось!
Правда, мне пришлось уменьшить кол-во молока, который добавляется в шоколад (в 2 раза). Сделав первый слой следуя инструкции, оказалось слишком жидко, ждала начала застывания больше часа. Решила переделать, уменьшила молоко и все получилось.	Вот ведь как! А я, когда делаю, обычно наоборот раздумываю - подлить еще молочка или хватит... Наверное, от шоколада зависит...
Во второй раз в горький и белый шоколад я положила по 2 ст.л. молока. Причем в третий раз в белый шоколад вообще не положу молока, а то он ооооочень долго застывает.	"Вот что мне нравится в этом рецепте, так это то, что его можно ""подогнать"" под каждый конкретный шоколад. Где побольше молока, где поменьше... А вкусно в любом случае!"
Обязательно так попробую, спасибо!	Аня, удачи в шоколадном эксперименте!
Веселые конфетки получились!!	Ой, а много-то как!
спасибо за идею!	Не за что! Надеюсь, что понравилось!
Просто бесподобно!	Светочка, большое спасибо за теплые слова!
nata69	Спасибо за поддержку
и миндаль здесь в тему,лепестки сама нежность	на завтра еще по креманочке осталось
на завтра еще по крманочке осталось	Если по чуть-чуть, то даже для похудения не опасно
Очень нам нравится сочетание сухофрукты-сливки-орехи. А печенье с кофе добавит яркую нотку любимому десерту.	Олечка, приготовь! не пожалеешь!!
Натуль,а ты какое печенье использовала?	надо пожалуй фотографию печентя вставить.
надо пожалуй фотографию печентя вставить.	очень такое незамысловатое
в самый раз	хорошо пропитывается
конечно	А само по себе оно очень сладкое
и мягкое?	да, мягкое и рассыпчатое
Олечка, балуешь нас!!!!Я очень люблю десерты с мятой... Очень-очень!!! А сочетание персика с мятой еще не пробовала... Уверена, что мне очень понравится!!!	Оленька, спасибо огромное за еще один чудесный рецепт!!! Забираю с огромным удовольствием!!!
Ни разу не пробовала крамбль Оля, твой крамбль ооочень привлекательный!!!!! Спасибо!!!!	Ирина, спасибо Вам большое за оценку и за интерес к рецепту!!! Надеюсь, что вы как-нибудь решитесь приготовить этот легкий, доступный и вкусный десерт и он придётся Вам по вкусу!!! Готовьте с на здоровье и с удовольствием!!!
Оленька, персики сейчас такие вкусные, а с мятой и под рассыпчатым одеялом, наверняка, должно быть волшебно-необычно-интересно вкусно! Я тоже никогда не пробовала сочетания персик-мята. У нас с мятой напряженка Свою не выращиваем, надо поискать в продаже... Что-то она мне не попадалась на глаза Но десерт, Олечка, очень красивый! Спасибо, что поделилась, Оленька!	"Лариса, я знала, что зайдешь ко мне в гости!!! Рада, что тебе понравился крамбль.. До этого я тоже не пробовала такого сочетания, да и вообще редко использовала мяту в выпечке. Пробовала делать этот крамбль с мятой и без нее, с мятой намного больше мне понравилось, она вроде не так сильно чувствуется в готовом виде, но все-таки придает десерту какую-то дополнительную тонкую нотку вкуса и аромата! Жалко, Ларис, что нет мяты у вас продаже, я покупаю ее или в ""Перекрестке"" или в ""Sрar"", в других магазинах пока что тоже не встречала.. Задумываюсь уже посадить ее дома в цветочном горшочке, так как она часто бывает нужна, для украшения, для выпечки или просто чайку с мятой попить, чтобы в магазин не ходить каждый раз.. Очень надеюсь, Ларис, что тебе всё-таки посчастливиться найти свежую мяту и ты попробуешь выпечку с нею! Вот я, например, в последнее время стала все чаще замечать, что, магазины расширяют свой ассортимент и в продаже появляются продукты, которые раньше найти было крайне сложно.. Маскарпоне теперь почти в каждом супермаркете вижу, мука кукурузная разлетается так, что иногда бывает даже купить не успеваю, желатин в пластинах, посыпки, гели для украшения тортов, кокосовое молоко, кстати недавно встречала, и это далеко еще не весь список! Так что, и мята, Ларис, вот увидишь, скоро появится!!!"
Molize, Олечка, спасибо большое тебе за этот очаровательный десерт!	Маша, на здоровье! Очень рада, что крамбль понравился!
Хотелось чего-нибудь лёгкого и быстрого из персиков, и мята как раз в холодильнике оказалась.	Я частенько готовлю этот крамбль в качестве завтрака или просто десерта. Особенно сейчас, когда сезон ягод и фруктов.
"Извини, что без фото ""отчитываюсь"", - делала для гостей, поторопилась подать, ну и, сама понимаешь, через минуту нечего было уже фотографировать. Очень вкусно, и сочетание персика с мятой очень удачное."	Абсолютно ничего страшного, что без фото. Самое главное, что гости остались довольны, а это - самая главная похвала для меня!
У меня лежал не очень вкусный персик, а в давних запасах пакетик сушеной мяты. Честно говоря, я скептически отнеслась к этой травке в таком виде, но открыв, почувствовала такой душистый, насыщенный аромат мяты, что воодушевилась и с удовольствием начала готовить крамбль!	Я тоже однажды делала крамбль с сушёной мятой, когда свежей под рукой нет, то очень выручает! И во вкусе ничуть не проигрывает!
"Лариса, спасибо тебе большое за твои всегда изумительные отчёты, ""наши встречи"" всегда поднимают мне настроение! Так хмуро сейчас было на улице, твой отчёт увидела и солнышко сразу вышло! Спасибо огромное ещё раз!"	Олечка, хорошего настроения тебе независимо от погоды! Мне очень радостно, если я немного рассеяла пасмурность за окном!
(Я наконец-то купила сулугуни! Вот, доедим моё имеющееся кулинарное безобразие, возьмусь за пиццу! )	Лариса, буду ждать тебя с нетерпением! Уже предвкушаю какая красота меня впереди ожидает!!!
"И давай ""на ты"" со мной"	Договорились!
Кира,подсадили,Вы,нашу семьü на вкусняшку. 2 дня подряд делаü	Спасибо ОГРОМНОЕ,сама как то не догадывалась всö в стакане соединить и красиво подать.
Спасибо ОГРОМНОЕ,сама как то не догадывалась всö в стакане соединить и красиво подать.	На доброе здоровье!!!Вам большое спасибо за позитиФФФ
Мороженое ни чем не испортить.	Не могу не согласиться
Очень вкусный и красивый рецепт!	Оксана!!Спасибо!
К нам гости должны приехать все не знала что на десерт подавать, теперь знаю! Спасибо!	Такой десерт непременно понравится гостям!
Буквально на днях видела похожий рецепт по телевизору, только вместо печенья - меренги, нужно будет попробовать, красота!	По-моему,у нас на форуме есть такой рецептик с киви...или там сливки вместо мороженого...точно не помню но точно с безе
Санни Кеш	Кира,спасибо большое!
Санни Кеш	Кирочка, твой десерт своим тож сделала!
Правда, дочке без клубничного соуса - не ест мой ребёнок вообще никакие фрукты и свежие овощи.	У меня сын тоже ягоды и фрукты не ест вообще,только яблоки,он мясо любит и рыбу,настоящий мужик
Ну, фоткам до твоих далеко, но им о-очень понравилось!!!	Так что очередная спасиба тебе.
только яблоки,он мясо любит и рыбу,настоящий мужик	О! Знакомая история! Ну - у тебя то настоящий мужик, а вот у меня кто?...
Ну - у тебя то настоящий мужик, а вот у меня кто?...	А у тебя разборчивая леди
Очень вкусный десерт У меня замороженая клубника с сахаром уже пюрированная	Катюша!! Спасибо большое за привлекательное фото и за отзыв!!Очень приятно,что десерт пришёлся по вкусу
Юленька,я пришла и сюда с отчетиком,что бы освежить темку Я обожаю мороженое и зимой и летом а с клубникой особенно	И я люблю мороженое в любое время года!! Для меня-это лучший десерт,а вот клубнику я в этом году даже не попробовала,была на море,когда был самый клубничный сезон
Юля, ну, что тут можно сказать? Ну, вкусно. Ну, безумно вкусно или офигительно вкусно, как сказал мой сын Печенье у меня всё потонуло в клубничном соусе, но оно там есть, всё, как надо Мороженое сама делала Кайфанули мы с сыном утречком по полной программе	Карина!!! Ну у тебя,конечно,очень всё аппетитно и впечатления ты передавать умеешь,я сама чуть слюной не захлебнулась У нас ещё нет нормальной клубники!Холода!!!!
Юлия!!!! Ау, ты куда пропала? Совсем тебя не видно, не слышно	А, мы сегодня твоим десертом баловались Каникулы, мороженое, клубника - что ещё для счастья надо
А, мы сегодня твоим десертом баловались Каникулы, мороженое, клубника - что ещё для счастья надо	А у тебя просто мега-аппетитные фотографии!!!! Эх!Я бы сейчас порции две слопала этого десерта!! У нас пока нет клубники
Очень мне понравился твой рецепт , ну просто сижу и слюньки глотаю ....	Я очень рада что вам приглянулись пралине
Ты в начале упомянула миндаль....А что если сделать с миндальной мукой??? как думаешь ? получится?	Упомянула миндаль, т.к. конфеты очень похожи на марципан. Чесно скажу, с миндальной мукой я не делала, но уверенна, всё получится и будет очень вкусно
Упаковать в коробку и хранить в прохладном месте,	но не в холодильнике.
Девочки, подскажите пожалуйста! Эти конфетки получаются сильно сладкими? а то карамель и шоколад... Уж очень аппетитно выглядят	Я бы не сказала, что они приторно сладкие.... нормальные по сладости... Попробуйте! Думаю, не пожалеете...
Aliy, и я попробовала Вашу нямочку!	Решила устроить конфетный день, искала рецепты, Ваш мне приглянулся)
Давно их не делала, вот решила вспомнить, а то НГ скоро....подарки)))	Оооо! Какое ассорти! Они все по этому рецепту?
Ко мне на ты	Ок
Рисунок это переходные листы для шоколада.	Типа переводилок, да?
Типа переводилок, да	Ага http://www.ital-konditer.ru/catalog/products/perevodnye_listy_i_formy_dlya_shokolada/perevodnye_listy_dlya_shokolada_kubiki_12sht_81565/
Алия! Огромное спасибо за рецепт этих конфет! Они божествены!	Леночка, очень рада, что они вам понравились!
А шоколадные конфеты похожи на финики!	И правда,похожи немного Это моя криворукость. Не смогла нанести шоколад, чтобы была гладкая красивая поверхность
У вас все отлично получилось!	Спасибо большое!
Не смогла нанести шоколад, чтобы была гладкая красивая поверхность	Надо было начинку чуть заморозить, а потом на зубочистку ее наколоть и обмакнуть в шоколад или шоколадную глазурь...
Надо было начинку чуть заморозить, а потом на зубочистку ее наколоть и обмакнуть в шоколад или шоколадную глазурь...	Или просто обвалять ее в тарелочке с растопленным шоколадом, а потом двумя зубочистками аккуратно вытащить и выложить на бумагу застывать...
Вообще, с шоколадом не просто работать, тут навык нужен...	Эт точно!
ААААААААААА, слюни потекли.... Какая же на вид вкуснотищааа!!!! Обязательно сделаю!!!	Успехов!
Напишите пожалуйста рецепт карамели,	В рецепте есть про карамель... Это тот же грильяж... Все правильно. А что именно не получается?
Ну во французском торте в карамели есть мед	С медом, наверное, грильяж мягче...
Я не могу понять сколько нужно воды и сколько примерно варить	Я тоже не знаю сколько нужно воды, с водой ни разу не пробовала...
А конфеты просто обслденные получились, просто супер.	Aliy
или магазинная купленная	А там не настоящая??? Можно этот момент поподробнее, Свет. Ты что-то знаешь про магазинную стружку такого....?
А там не настоящая??? Можно этот момент поподробнее, Свет. Ты что-то знаешь про магазинную стружку такого....?	нет,не знаю ничего такого-просто на фото расколотый кокс- вот я спросила- стружка из кокоса тертая или магазинная из пакетика
магазинная обыкновенная а то кокос я без мужской силы сама не расколю	понятно- интересный рецептик- возьму на заметку а то это молоко у нас тоже не продается
"Это уже не первый рецепт кокосового молока, с которым я сталкиваюсь, и все абсолютно разные. Какие-то на воде, какие-то на молоке...Попробовать бы ""магазинное""хоть раз Этот сразу же в закладки обязательно сегодня попробую Магазинное идёт с эмульгатором, так что своё намного лучше, как не крути"	Я правда, делала из настоящего кокоса, из магазинной стружки ни разу не делала.
Равиоля	если честно, у меня сразу после охлаждения молоко ушло на коктейли и не успело постоять....поэтому процессов разделения не успело произойти... Аа, а то я добывала в основном коксовое масло из кокоса, и там надо, что бы масса постояла, да ещё и в холодильнике до застывания масла)
То если вы любите шоколад то это будет большое удовольствие для вас.	Да, вот уже и захотелось удовольствия
Наталочка	очень хочу попробувать приготовить
Natalochka, SPASIBO	Пожалуйста на здоровичка!!!
Светик, конфетки - ням! ХОЧУУУУУУ!!!!!	Спасибо за рецепт!
Спасибо за рецепт!	На здоровье!
Обязательно попробуем, спасибо!	Буду ждать впечатлений!
Светлана	Катя, спасибо!
Светик, спасибки за рецептик. Давно хочу сделать, но пока только покупаю готовые. Решиться бы...	Оля, решайся, очень просто делаются! Удачи!
Все гениальное просто, надо будет срочно приготовить.	Светочка спасибо
Светочка спасибо	Спасибо тебе, что обратила внимание на рецепт!
Cветлана, огромное спасибо. У меня муж сладкоежка, для него был подарен праздник Души.	Очень вкусненько,
Светочка, огромное спасибо за оценку.	Ольга, это Вам спасибо, что воспользовались рецептом!
Светуля, я к тебе с отчётом. Очень милые получились конфетки. Спасибо!	Натуля, как удачно я на форум зашла! У меня как раз в руках чашечка чая, так что угощусь конфеточкой! Какие симпатичные они у тебя получились! Спасибо тебе за доверие и замечательное фото!
меня как раз в руках чашечка чая, так что угощусь конфеточкой!	Угощайся на здоровье!
Угощайся на здоровье!	Спасибо!
ланита	Светлана, c наступающим Новым годом !!!
Восхишяюсь просто этим рецептом...	Санечка, я так рада, что рецептик тебе понравился!
Спасибо тезка! Действительно очень легко и просто!Я обязательно воспользуюсь С праздником тебя	Виктория на здоровье надеюсь понравится!! Будут вопросы обращайтесь!!!
класс! а в какие рецепты ее можно использовать?	Мария да куда угодно, у меня муж ложкой ест с чаем , а дочь на хлебушек намазывает и и в торты всякие можно , вот тут посмотри http://forum.say7.info/post2001004.html#2001004
Это прекрасное дополнение к выпечке и десертам	Ольга абсолютна согласна с тобой , я его очень часто использую...и в кексы и в пироги, да и просто намазать на
А молоко какой жирности лучше?	Знаешь ,помница в книжке Итальянских рецептов десерта ,было предложено с козьем молоком , но я никогда не заморачиваюсь на этом и беру молоко какое есть в холодильнике!
Спасибо за прекрасный рецепт!	На здоровье , надеюсь пригодится!
Виктория, может я пропустила, но у меня вопрос.	Сколько может храниться такая карамель?
Виктория, а можно как-то предотвратить засахаривание? Я сделала карамель, уварила наполовину, сначала жидкая была, когда остыла тоже, я ее разогрела и крахмала добавила, стала погуще, а на ночь в холодильник поставила, сегодня смотрю, а она вся засахарилась Но вкусная такая	Спасибо за рецептик!
Цитата:	Наташа я рада что тебе понравилась карамель ,но если засахарилась то ты мало поварила и получается она у тебя ещё не готова!
Не доваренная уж сильно жидкая была, доварила, оставила на плите, смотрю, а оно опять засахарилась Может это от молока зависит?	-Когда молоко покоричневеет и приобретет консистенцию жидкого меда, снять с огня, переставить кастрюлю в емкость с холодной водой и активно мешать еще 5 минут. Переложить в банки, остудить...Вода должна быть холодная, но не ледяная - иначе от резкого охлаждения может произойти кристаллизация сахара.
Виктория, подскажи, а для чего добавляется сода? У меня когда варилась в конце, так пенилась, с одной миски убежала! Пришлось в кастрюльку переливать. И это на самом маленьком огне!	Вот поэтому и нужно мешать , а сода как раз и нужна для загустения и карамелизации(так было написано) я пробовала без неё , не получилось....
М-м-м, какая вкусняшка! Спасибо за лёгкий рецепт карамели!	Yulaa
А я делала из мааленького количества продуктов ( в 8 раз меньше ) просто немного нужно было и хотела просто попробовать.	Получилось очень густое и прилипало к зубам, а когда стало остывать вообще было как помадка жесткая. Что не так? Наверно я переварила
Не знааю, просто на глаз же пришлось продукты брать Все равно получилось вкусно Добавляла в блинчики Если делать прямо по рецепту, то уверена что получится	Спасибо большое за рецепт!!!
ммм ... какая вкуснятина! Супер Виктория, спасибо. Вчера готовила сгущенку примерно так и вот сегодня думала как бы сделать варенку. Хочу бабушке сделать и передать, скажите сколько получается из данного количества и сколько мл стакан? Мне нужно приготовить 1.5 литра, вот и хочу подсчитать сколько мне нужно продуктов.	Я не советую сразу много делать , нужно понять саму концепцию процеса и ваши продукты так сказать!Стакан 240-250 гр.
Единственное, что мне хотелось бы все-таки уточнить: тирамису вкусное, похоже чем-то на мороженое, но на мой вкус жирноватое...Маскарпоне - сам по себе жирный, сливки 30% - тоже ого-го...После второй чайной ложки этого тирамису уже кажется, что ты сыт...	Даша, я вам отвечу.. сколько пробовала тирамису в ресторанах, действительно редко когда он весь влезает, хотя необычайно вкусный Мне тоже кажется очень сытным десертом.
Замечательный рецепт. Завтра обязательно приготовлю. Спасибо	Танюш, спасибо за внимание к рецепту. Кушайте на здоровье, жду с отчётом.
"Десерт получился очень легки и вкусный (я добавила молотый кофе ароматизированный). И готовиться просто и быстро. Иногда буду ""баловать"" себя и близкиъ"	Танюша, рада что рецепт понравился. Угощайтесь.
Классные конфетки	Супер! Я в восторге! Сегодня - что не рецепт - просто чудо какое-то для гурманов!
Супер! Я в восторге! Сегодня - что не рецепт - просто чудо какое-то для гурманов!	Наташа!Спасибо! Конфеты действительно чудесные вышли, на НГ с миндалем делала и с кешью,вкуснотища!!! Угощайтесь!
Надо сделать Точно знаю, что будет вкусно	Каринка!Непременно надо сделать!У-у-ужасно вкусно!
Alisa v strane chudes	Очень красивый зефир) как вкус?
Для меня кисловато..я люблю чуть слаще ягоду. Клубничный мне больше по душе пришелся	главное найти свой вкус) девочки, уменьшают количество смородинового пюре до 30% от указанного и сочетания самые невероятные придумывают) поле для эксперимента
Helena-s	У меня цвет был оттеночным, хотя манго было оранжевое. Было около 70 грамм пюре манго, яблочного 180. Аромат был и послевкусие. И не такой узорный отсаживался - слегка подал, но не критично, волна просматривалась
главное найти свой вкус) девочки, уменьшают количество смородинового пюре до 30% от указанного и сочетания самые невероятные придумывают) поле для эксперимента	я тоже подумала,что надо было делать с яблочным пюре. В следующий раз попробую 50×50
яблоко+апельсин+корица	такой зимний - глинтвейн..
Сделала зефир яблоко+апельсин+корица	Скорее даже не апельсин, а цедра апельсиновая)
А рецептиком поделитесь?	Алиса, я делаю по этому рецепту. В сироп только добавила 1ч.ложку без верха порошок корицы и измельчённую в кофемолке цедру апельсина ( приблизительно 1ст.ложка получилась). Варила все вместе в сиропе.
Алиса, я делаю по этому рецепту. В сироп только добавила 1ч.ложку без верха порошок корицы и измельчённую в кофемолке цедру апельсина ( приблизительно 1ст.ложка получилась). Варила все вместе в сиропе.	Апельсин все сразу почувствовали, а вот корицу не угадали (может больше надо?)
Зефирчик яблоко+чёрная смородина.	Самый вкусный!
"пора на ""ТЫ""))))) столько зефирить"	Это точно)))....
)) Вкуснотища))	только немного внесла коррективы в изготовление орехов:
только немного внесла коррективы в изготовление орехов:	сахар на сковородке разбавила водой ДО нагревания сковороды, затем выложила на сковородку положила орехи, и на небольшом огне стала интенсивно мешать. Когда вода выпарилась, орехи (в моем случае фундук не обжаренный) покрылись тонким слоем белого сахара. Я подержала на плите орешки, чтобы получилась более менее карамельная глазурь, решила что хватит, когда у почти каждого орешка хотя бы один бочок был прозрачным.
Вопросик, а у вас получается сделать так чтобы масса была идеально равномерной? И сколько вы тратите на это времени, при измельчении, если это у вас получается?	Вот результаты первого раза)) я не делала донышко у конфеток, сделала донышко там, где нет корпуса (тоже как чувствовала, ведь пралине получилось мягким) .
Вот результаты первого раза)) я не делала донышко у конфеток, сделала донышко там, где нет корпуса (тоже как чувствовала, ведь пралине получилось мягким) .	Спасибо за то, что поделились рецептом))
Эм, справа снизу неровные овальные - это конфеты с финиками, поэтому не обращайте внимание	Финики в шоколаде Супер!!!Я давно хочу сделать чернослив в шоколаде с орешками и всё никак
Очень вкусные конфетки!!!	mulberry очень рада,что понравились!!!! Отличные получились!! Спасибо большое за фото-отчёт и за доверие к рецепту!!
Санни Кеш	Юя, формочки смазывать маслом растительным? у меня , как твоя форма сердечком нормально выходят, а из другой нет. как думаешь, если смазать масом, то шоколад нанесется или стечет?
Спасибо Юля за рецепт, правда без фото , если успею приложу фотоотчет	Конфетки понравились
Конфетки понравились	правда я что то не так с карамелькой сделала, пралине не было мягким, но и не было жестким, на вкус не повлияло
правда я что то не так с карамелькой сделала, пралине не было мягким, но и не было жестким, на вкус не повлияло	из указанного количества получилось 400 г конфет( правда добавила ещё одну шоколадку для обмазки)
давно я не готовила десерты,всё булки,да булки	а у меня хлеб да хлеб..
а у меня хлеб да хлеб..	Хлеб тоже часто пеку,правда не дружу с закваской не выживает она у меня
не выживает она у меня	на самом деле это как приладиться извини за офтоп в темке
на самом деле это как приладиться извини за офтоп в темке	и ещё мне почему то тебя(ничего что на ты?)
и ещё мне почему то тебя(ничего что на ты?)	Кирой называть хочется, мне кажется было раньше это имя
Кирой называть хочется, мне кажется было раньше это имя	если вдруг обидела , прости пожалуйста я не со зла..
если вдруг обидела , прости пожалуйста я не со зла..	Давно мечтаю домашние конфеты сделать. Кстати, отличная идея для подарка, конфеты своими руками.
Давно мечтаю домашние конфеты сделать. Кстати, отличная идея для подарка, конфеты своими руками.	Гвенни,домашние конфеты отличный подарок и делать их очень интересно
