fist_phrase	reply
готовила из филе от хвостиков лосося.	Представляю, как это вкусно…
Рыбу никогда не отвариваю, томлю в сковородке под закрытой крышкой, получается в собственном соку.	Я тоже также делаю для повседневных блюд из рыбы, томлю на тихом огне под крышкой, но здесь следовала авторскому рецепту…
"Еле дождалась пока рыбка ""промайонезится"". так понравился результат, что разложила по баночкам и помчалась угощать маму и подружку. и от них вам огромное спасибо!"	На доброе здоровье угощающимся очень и очень рада за такой отзыв… фото бесподобное…
Вчера приготовила Вашу закусочку , сегодня уже попробовали. Это неописуемая вкуснятина!!!! майонез совсем не чувствуется, только сочности дает блюду	Машенька, вот видишь, я выкладываю ооооочень проверенные рецепты
Хочу теперь попробовать с окунем и с красной рыбкой тоже интересно	Окунь вообще бесподобная по вкусу рыбка из морских, я правда, не люблю её разделывать, у неё очень жесткие и опасные плавники, а филе я не видела у нас пока ... с красной рыбкой тоже у меня по плану приготовить
Спасибо за рецепт, нам очень понравилось!	Благодарю тебя за такой красивый фотоотчёт и аппетитную рыбку ...
а сверху - это морковка так красиво украшает ... ??????	"Да, Таня, это морковка! А вырезала я этот цветок вот такой ""точилкой"" для моркови"
"Да, Таня, это морковка! А вырезала я этот цветок вот такой ""точилкой"" для моркови"	Лариса, но к сожалению, я у нас такой не видела, это как карандаш затачиваешь, да ???
Какая же вкуснятинка у нас появилась!	Это должно быть очень-очень вкусно!
Спасибо!!!	Тебе спасибо, что не прошла мимо, заглянула и оставила добрые слова...
Танечка!! Безумно вкусная рыбка у меня получилась!!!Готовила из хека, просто супер!!!!	Олечка, мне так приятно, что результат порадовал и также очень рада видеть тебя в своей темке
Для меня открытием стало добавление кориандра при варке рыбки Очень понравился легкий вкус, который придает кориандр.	Вообще во многих источниках для пряного рыбного отвара в основном используется лаврушка и перец горошком...
Спасибо большое!!!!	Пользуйся на доброе здоровье ...
Я тоже приготовила. Из хека. Стоит настаивается... Но я не удержалась и ложечку себе зачерпнула на пробу. Это мое!!! По вкусу ни убавить - ни прибавить!!!	Ирина, спасибо за внимание и доверие к рецепту рада, что вкус рыбки устраивает
Спасибо, Татьяна, за подробный рецепт и тонкости приготовления!	Благодарю за такую оценку
спасибо тебе за вкусный рецепт!	Танечка, благодарю за доверие рецепту и красивый фотоотчёт
	Пока не знаю, завтра будет дегустация... у меня филе минтая, уговорили на рынке взять, сказав, что рыбка сочная, я пожалела отварив её, никогда его не любила, но другой не подвернулось, а мне очень надо было … лучше всего, наверное, хек и пикша...
Татьяна, спасибо за рецепт. Вчера вечером приготовила, сегодня приходил внук с женой на обед. Рыбка нам очень понравилась. Готовится легко и съедается быстро.	Я рада, что результат порадовал, спасибо за доверие рецепту
Татьяна, спасибо за ваши рецепты и очень доходчивое описание приготовления рецептов.	Благодарю, люблю, когда всё понятно
Фотографии выкладывать пока не научилась, но думаю что все еще впереди.	Если что, рада помочь
Скажите, как из минтая получилось?	Очень вкусно было, у меня филе было, всем понравилось, даже не поняли, какая рыбка
Такое блюдо буду делать обязательно	Ирина, спасибо за внимание
Новое фото от 6 января 2017 г.	Пробуйте, только выбирайте свою любимую рыбку...
спасибо, за рецептик! Отличая рыбка получается!	Света, рада, что ты заглядываешь ко мне, благодарю за внимание
Спасибо огромное за такую вкусную закусочку	Марина, как приятно тебя видеть в своей темке спасибо за доверие рецепту и великолепный фотоотчет
Из рыбы брала навагу и горбушу (были по пару кусочков)	Получилось очень, очень вкусно
аня, мой отчет и огромная благодарность	Любим эту закуску, периодически готовлю
Танюша, я сделала твою рыбку! Это просто и очееень вкусно Замечательный рецепт	Валечка, как я рада, что ты воспользовалась рецептом
и подкупает в нем еще и то, что рыбка не жареная, а значит и более полезная.	Делала со щукой
Делала со щукой	Я её не покупаю, хороши - судак, треска, хек, горбуша, даже минтай (хотя я его тоже почему-то жалую)...
И еще, буду больше заправочки делать, а то на мое количество рыбки маловато показалось	Я и писала, что лучше пусть останется (она вкусна и отдельно на хлебушек), чем не хватит
Вот и тебе кусочек принесла. Угощайся!	Благодарю, сейчас пощусь, есть очень хочу, кусочек очень аппетитный
Еще раз, спасибо!	Готовь на здоровье, благодарю за фотоотчёт, фото всё лучше становится
Я её не покупаю	Я тоже ее не покупаю, мне ее муж или свекр ловят. В этот раз привезли 6 штук по 1,5-2 кг. каждая , где спрашивается столько хранить? Была бы зима, можно было на балкон вынести... Вот и решила ее в рецепт приспособить. Вкусно, но косточки удалять муторно
Я и писала, что лучше пусть останется	Я читала, но показалось на глаз, что достаточно. Вот на собственном опыте убедилась, что ты была права
сейчас пощусь	Молодец какая!
фото всё лучше становится	Спасибо за похвалюшки
С наступающим тебя Женским Днём	И тебя! Желаю новых кулинарных идей и сбычи мечт!
Я тоже ее не покупаю, мне ее муж или свекр ловят. В этот раз привезли 6 штук по 1,5-2 кг. каждая	Какое счастье, у нас поблизости нет таких возможностей
перестала даже скумбрию покупать из-за её спец.запаха, руки потом не отмоешь, пока не постираешь	Татьяна, рыбный запах убирается очень просто. Когда собираюсь готовить рыбу, покупаю пиво, самое элементарное. С рыбой закончила, обмываю пивом, затем мою мылом - запаха никакого.
Это очень вкусно. У нас всегда на праздничном столе была рыбка. Под майонезом, в томате или под маринадом (типа корюшки маринованной).	Мария, благодарю за внимание к рецепту
рыбный запах убирается очень просто.	Спасибо за информацию, но в моем случае здесь ещё добавляются и вкусовые пристрастия человека ... в ней особенный вкус жира, что я несколько часов после не могу от него избавиться, желудок, видно, не воспринимает...
Рецепт скопировала. У всех рецепты немного отличаются, есть изюминки.	Спасибо.
Таня, приготовила твою рыбку, очень понравилась. Альтернатива рыбе под маринадом, только нежнее. Мне нравятся блюда, которые можно приготовить заранее, очень выручает перед праздниками. Спасибо.	"Благодарю, Оля, рецепт удобный с маринадом я не очень люблю,для меня этот рецепт просто ""находка"""
Леночка, шикарная рыбка! Я считаю, что лучше такого маринада, ничего нет! Спасибо!	Оленька, спасибо тебе, дорогая, за твои отзывы , всегда очень приятные!
Какая аппетитная рыбка ммм...... Елена спасибо за рецепт Уже в закладках	Ирина, готовьте на здоровье и на радость себе и близким.
Очень люблю мясо лосося	А с таким маринадом, вообще сказка!!!!!!!!!!
мне они кажутся настолько неудачными	Лена, зря ты так!!!!!!!!!!!
Лена, зря ты так!!!!!!!!!!!	Мне очень нравятся!!!!!!!!!
Изумительная рыбка!!!!!	А про фотографии - согласна с Олесей!
спасибо огромное за ретцепт	Пожалуйста, пользуйтесь на здоровье.
Я готовила! Очень-очень вкусно! К сожалению, не удалось сфотографировать, очень быстро съели. Я решила для быстроты и простоты рыбу не порционно запекать, а прямо целую форель (без головы, хвоста и потрошеную) смазала внутри и снаружи маринадом и положила в рукав для запекания. Около часа он мариновался, потом запекла. Все гости сказали, что вкуснее и нежнее рыбы не ели никогда!	Правда, порезать красиво уже не удалось, надо было все-таки сырую рыбу на куски разделать, а потом готовить. В следующий раз учту. Но маринад!!! Необыкновенный!!! Всем рекомендую приготовить, и сама буду не раз!
прямо в тему нашла рецепт!	как раз лосось из холодильника достала, думала жарить буду.
Очень интересный вариант Часто кушаем эту рыбку Надо попробовать Спасибки	Лилия, пользуйтесь рецептом на здоровье.
Спасибо! Очень вкусная рыбка, вчера готовила.	Яна, спасибо большое!
Правда немного суховата вышла, поэтому подавала с горчично медовым маринадом.	странно, лосось жирная рыбка, а сколько по времени готовилась рыба?
Хотела сфотографировать, но не успела, половина уже была съедена)))	Яна, фото не главное, спасибо большое, что нашли время и оставили отзыв.
странно, лосось жирная рыбка, а сколько по времени готовилась рыба?	Так как стэйки были большими, рыба готовилась около 25 мин, до этого по виду можно было определить что она еще сыровата немного.
За рецептик )))	Яна,
Елена спасибо за рецепт! Очень интересный маринад. Завтра буду готовить.	Лена, надеюсь рыбка по этому рецепту на вкус Вам понравится, жду Ваших впечатлений.
Леночка, шикарная рыбка! Я считаю, что лучше такого маринада, ничего нет! Спасибо!	Оленька, спасибо тебе, дорогая, за твои отзывы , всегда очень приятные!
Какая аппетитная рыбка ммм...... Елена спасибо за рецепт Уже в закладках	Ирина, готовьте на здоровье и на радость себе и близким.
Очень люблю мясо лосося	А с таким маринадом, вообще сказка!!!!!!!!!!
мне они кажутся настолько неудачными	Лена, зря ты так!!!!!!!!!!!
Лена, зря ты так!!!!!!!!!!!	Мне очень нравятся!!!!!!!!!
Изумительная рыбка!!!!!	А про фотографии - согласна с Олесей!
спасибо огромное за ретцепт	Пожалуйста, пользуйтесь на здоровье.
Я готовила! Очень-очень вкусно! К сожалению, не удалось сфотографировать, очень быстро съели. Я решила для быстроты и простоты рыбу не порционно запекать, а прямо целую форель (без головы, хвоста и потрошеную) смазала внутри и снаружи маринадом и положила в рукав для запекания. Около часа он мариновался, потом запекла. Все гости сказали, что вкуснее и нежнее рыбы не ели никогда!	Правда, порезать красиво уже не удалось, надо было все-таки сырую рыбу на куски разделать, а потом готовить. В следующий раз учту. Но маринад!!! Необыкновенный!!! Всем рекомендую приготовить, и сама буду не раз!
прямо в тему нашла рецепт!	как раз лосось из холодильника достала, думала жарить буду.
Очень интересный вариант Часто кушаем эту рыбку Надо попробовать Спасибки	Лилия, пользуйтесь рецептом на здоровье.
Спасибо! Очень вкусная рыбка, вчера готовила.	Яна, спасибо большое!
Правда немного суховата вышла, поэтому подавала с горчично медовым маринадом.	странно, лосось жирная рыбка, а сколько по времени готовилась рыба?
Хотела сфотографировать, но не успела, половина уже была съедена)))	Яна, фото не главное, спасибо большое, что нашли время и оставили отзыв.
странно, лосось жирная рыбка, а сколько по времени готовилась рыба?	Так как стэйки были большими, рыба готовилась около 25 мин, до этого по виду можно было определить что она еще сыровата немного.
За рецептик )))	Яна,
Елена спасибо за рецепт! Очень интересный маринад. Завтра буду готовить.	Лена, надеюсь рыбка по этому рецепту на вкус Вам понравится, жду Ваших впечатлений.
Спасибо за рецептик!!!!	Очень здорово получилось.
С новым годом!!! Я с отчётом с праздничного стола!!!	Ирина, спасибо большое за аппетитное фото , надеюсь на вкус рыбка Вам понравилась. С новогодними праздниками и Рождеством Христовым!
Ирина, спасибо большое за аппетитное фото , надеюсь на вкус рыбка Вам понравилась. С новогодними праздниками и Рождеством Христовым!	[url=http://www.radikal.ru][/url]
Да рыбка получилась очень вкусная!!!	Ирина, я очень рада, что рыбка понравилась, готовьте на здоровье, спасибо.
Приготовила рыбку по Вашему рецепту, очень вкусно, понравилось всей семье Спасибо за рецептик	Лена, спасибо большое за отзыв, мне очень приятно.
Легко готовить, вкусно кушать, сытно получается!!!	Очень любим семгу в нашей семье. Рецептики пополняются! Спасибо, Леночка!
Спасибо большое за рецепт! Очень вкусно, сегодня готовила	Лена, какая красивая рыбка получилась.
Только я заливала маринадом рыбку прямо в форме и накрывала форму крышкой (перестраховалась, тут писали, что рыбка иногда суховатой получается)	ну никак не может жирненький лосось оказаться сухим, если только его долго не передержать в духовке....
Вышло просто восхитительно! Беру рецепт в постоянное пользование	Лена, мне очень приятно, что Вам рыбка понравился, пользуйтесь рецептом на здоровье.
Лена, какая красивая рыбка получилась.	Спасибо большое, мне очень приятно Даже не ожидала такого быстрого ответа
не стоит рыбу в духовке запекать долго...	Я больше 15 мин не держу, в следующий раз попробую оригинальный вариант, без крышки
Лена, мне очень приятно, что Вам рыбка понравился, пользуйтесь рецептом на здоровье.	"Со мной можно на ""ты"", хорошо? А я очень благодарна за рецепт, просто обожаю лосось! Уже замучалась придумывать, как бы его приготовить: очень нравится в апельсиновом соке (по-моему, тоже твой (можно на ""ты""?) рецепт, в гранатовом соке, с яблоком (рецепт с другого сайта, но в числе любимейших), а теперь и так готовить буду"
Спасибо большое, мне очень приятно Даже не ожидала такого быстрого ответа	Я больше 15 мин не держу, в следующий раз попробую оригинальный вариант, без крышки
Я больше 15 мин не держу, в следующий раз попробую оригинальный вариант, без крышки	"можно на ""ты"""
"можно на ""ты"""	конечно
А я очень благодарна за рецепт, просто обожаю лосось! Уже замучалась придумывать, как бы его приготовить: очень нравится в апельсиновом соке (по-моему, тоже твой) рецепт, в гранатовом соке, с яблоком (рецепт с другого сайта, но в числе любимейших), а теперь и так готовить буду	Леночка, спасибо за доверие, приятно, очень-очень.
Леночка, спасибо за доверие, приятно, очень-очень.	может быть тебе пригодится и такой простой вариант
может быть тебе пригодится и такой простой вариант	Конечно, пригодится, уже в закладках Спасибо!
У меня тоже получилось с горчинкой. Но муж все равно умял за обе щеки!!!! сам рецепт очень понравился, но в следующий раз наверное положу лимончик сверху (как и всегда). Спасибо!	Анна, простите, не сразу заметила Ваш отзыв...
Леночка, спасибо большое снова! Очень вкусно получилось, нашла рецепт уже переписанным у себя в тетрадке, молниеносно быстро готовится	Леночка, какой красивый кусочек!!!!!!!
Леночка, какой красивый кусочек!!!!!!!	Спасибо тебе, я очень благодарна тебе за твое доверие к моим рецептом и большое спасибо за фото, украсившее рецепт.
Спасибо тебе, я очень благодарна тебе за твое доверие к моим рецептом и большое спасибо за фото, украсившее рецепт.	Magic-2_Lantern
Пришла пора красной рыбки...спасибо за рецепт - обязательно попробую!	Оксана, буду рада если вкус рыбки Вам понравится..
escada	сижу и с нетерпением поглядываю в духовку, когда она уже приготовится
Леночка, это очень вкусно! Спасибо за рецепт!	Оксана, спасибо за очень красивый и аппетитный фотоотчет!
Даже мой малыш, не очень любящий рыбку, продегустировал с превеликим удовольствием!	приятно
Очень вкусно, рекомендую всем попробовать	спасибо большое, рада, что Вам понравилось..
Здравствуйте! А у меня вопросик: горчица должна быть острая или?	острая, но не слишком, в меру.... но, конечно, ориентируйтесь на свой вкус....
Лена, я к тебе снова с отчетом! Оооочень понравился такой маринад для рыбки. Получается очень очень вкусно! Спасибо огромное за рецепт!	Кристина, и тебе ОГРОМНОЕ спасибо, очень тебе благодарна, что доверяешь моим рецептам и украшаешь странички аппетитными красивыми фотографиями.
я принесла свое спасибо запекала кусочек мужу на ужин- очень понравилось ему ну и мне тоже обалденная рыбка	Света, я очень рада, что вам понравилось, пользуйся на здоровье очень аппетитная рыбка у тебя получилась
я правда запекала на кольцах лука- муж мой не любит лимона чтоб было много в рыбке	Света, у меня есть рецепт, очень-очень простой, но вкууусный
Света, я очень рада, что вам понравилось, пользуйся на здоровье очень аппетитная рыбка у тебя получилась	спасибо
	Света, у меня есть рецепт, очень-очень простой, но вкууусный
классно, спасбио за ссылочку- утащила рецептик	на здоровье
на здоровье	Ляночка08
Ммммм... Обалденная рыбка! Лена, огромное спасибо!	Кристина , спасибо большое, что балуешь меня отчетами и украшаешь страничку, очень аппетитные фотографии всегда у тебя, я очень довольна.
Спасибо большое за рецепт , долго на него смотрела и долго о нём думала...не люблю ново-экспериментальное, но вот: решилась. У меня, правда, форель...Ооочень вкусно!!!	Только у меня вопросы: какую горчицу надо было (у меня обычная острая...валялась в холод-ке, а сюда пригодилась!)
Только у меня вопросы: какую горчицу надо было (у меня обычная острая...валялась в холод-ке, а сюда пригодилась!)	обычную, та, которая есть и которую любите использовать, я чаще использую острую...
Нужно ли маринад сливать на саму рыбу перед тем как печь, я облила им всю рыбу?	Наташа, его очень мало, по идеи он должен быть весь на рыбе, но можно и вылить...
рыбу сразу вынула из-под лимона, а то кому-то горчило. Ничего не горчит, сладенько, вкусненько!!!	ох, уж с этой горчинкой...ну это же лимон, его и в чай и в пирог...просто кому то попалася толстокожий лимон... или просто вкусы у всех разные....я очень люблю добавлять везде цедру лимона, прямо ножом срезаю и к рыбе, курице, в выпечку...
Переживала за привкус и остроту горчицы...ничего нет, даже острый перец не почувствовала! Спасибо ещё раз, беру в рецепты!	Наташа, рада, что рыба по этому рецепту пришлась Вам по вкусу, пользуйтесь рецептом на здоровье
Спасибо за рецепт. Получилось вкусно,	Инна, спасибо за отчет.
но на мой вкус сладковато, меда нужно было положить чуть поменьше.	мёд разный, как и горчица, регулируйте по своему вкусу...
Спасибо за рецепт, очень люблю рыбу, поэтому обязательно опробую!	спасибо, надеюсь Вам понравится....
Рецепт просто потрясный!!! Рыбка тает во рту! Муж, который не любит рыбу, съел три куска (для блюда брала стейки) и сказал приготовить ещё!!	Просто вкуснатища!!
Елена, ну какая же это вкуснота!	Наташа, спасибо большое, рада, что и Вам рыба по этому рецепту пришлась по вкусу, готовьте на здоровье.
Леночка, рыбка потрясающая	Спасибо за рецепт
Леночка, я к вам с рыбкой.	Ирина, всегда Вам рада
Делала семгу по вашему рецепту. Очень вкусно получилось!!! Нежнейшая рыбка в маринаде, очень быстро готовится и съедается. Спасибо за рецептик!!!!	Спасимо Вам огромное за отчет, как всегда приятный и красивый и благодарный, всегда приятно читать и любоваться Вамими фото, очень Вам благодарна за доверие, готовьте с удовольствием.
всегда приятно читать и любоваться Вамими фото, очень Вам благодарна за доверие, готовьте с удовольствием.	Леночка
люблю полезные и вкусные рецепты	Валерия! Я сама люблю такие рецепты, притом простые в приготовлении...
Танечка, рыбка шикарная!	Олечка! О такой похвале можно только мечтать, спасибо тебе за внимание ...
Какой кусочек рыбки чудесный!!!	Леночка! Спасибо тебе за доверие к рецепту , надеюсь, что рецепт долго не залежится
...большое спасибо за рецепт. Нам очень-очень понравилось. Быстро-просто-полезно-вкусно.	Танечка! Я очень довольна, что ты смогла оценить рецепт..., очень простой и полезный ...
...опять приготовила форель по твоему рецепту. Опять восторг!	Танюша! Я рада твоим положительным эмоциям...
Сегодня приготовила твою рыбку.Огромное спасибо за такую идею,до чего просто,быстро,вкусно!Рыбка такая получилась нежная,сочная!	Фая! Я рада, что рецепт тебя не разочаровал..., какие ты стала делать фото, просто молодец
Рыбка просто обалденная, и очень заинтересовал гарнир из шпината, беру себе в закладки.	Валентина!
Шикарный рецепт, гости восхищались нежностью и вкусом рыбки!!!!	Ирина! Очень рада, что рецептик не разочаровал
а я твою рыбку уже давно заприметила, и запланировала сделать на эти праздничные выходные	Марианночка!
а я твою рыбку уже давно заприметила, и запланировала сделать на эти праздничные выходные	Марианночка!
люблю полезные и вкусные рецепты	Валерия! Я сама люблю такие рецепты, притом простые в приготовлении...
Танечка, рыбка шикарная!	Олечка! О такой похвале можно только мечтать, спасибо тебе за внимание ...
Какой кусочек рыбки чудесный!!!	Леночка! Спасибо тебе за доверие к рецепту , надеюсь, что рецепт долго не залежится
...большое спасибо за рецепт. Нам очень-очень понравилось. Быстро-просто-полезно-вкусно.	Танечка! Я очень довольна, что ты смогла оценить рецепт..., очень простой и полезный ...
...опять приготовила форель по твоему рецепту. Опять восторг!	Танюша! Я рада твоим положительным эмоциям...
Сегодня приготовила твою рыбку.Огромное спасибо за такую идею,до чего просто,быстро,вкусно!Рыбка такая получилась нежная,сочная!	Фая! Я рада, что рецепт тебя не разочаровал..., какие ты стала делать фото, просто молодец
Рыбка просто обалденная, и очень заинтересовал гарнир из шпината, беру себе в закладки.	Валентина!
Шикарный рецепт, гости восхищались нежностью и вкусом рыбки!!!!	Ирина! Очень рада, что рецептик не разочаровал
а я твою рыбку уже давно заприметила, и запланировала сделать на эти праздничные выходные	Марианночка!
а я твою рыбку уже давно заприметила, и запланировала сделать на эти праздничные выходные	Марианночка!
Таня, не удержалась, глядя на твою сегодняшнюю красоту, не дождалась я завтра, сделала сегодня!	Марианночка!
Рыбка получилась супер вкусная! у меня сегодня был просто потрясающий ужин, я объелась до отвала, что конечно непозволительно в пост да и вообще	"Я очень рада, что рецептик не подвёл, рыбка действительно божественная на вкус, у меня так гости всегда и говорят... , а что касается ""до отвала"" - иногда можно дать волю своим вкусовым пристрастиям, тем более в Благовещение рыба позволительна..."
Ирина! Ты оперативна	Рыбка сочная и очень вкусная в таком исполнении...
Spasibo.	daliaz!
Татьяна, спасибо большое за такой вкуснющий и легкий рецепт!	Лена!
способ приготовления рыбки очень приглянулся!	Да, способ простой и к тому же делает рыбку очень полезной, т.к. в отвар уходит всё лишнее для организма..., и притом она остается очень сочной...
Спасибо большое за такой интересный рецепт очень вкусной рыбки!	Быстро, просто и удобно! Такая нежная и сочная рыбка получилась - пальчики оближешь!
Шпината не было, а магазин уже не успевала.	но шпинат - это уже отдельная тема я просто сервировала им, а так подойдет сюда любой любимый гарнир ...
Спасибо за рецепт.	Юлечка, мне очень приятно, что рецепт не разочаровал...
спасибо большое за прекрасный и очень простой рецепт!!!	Ирочка, спасибо
Вчера готовила рыбку и шпинат на девичник, подружки были в восторге, так быстро съели, что даже сфотографировать забыли))) Все спрашивают рецепт)))	Мне очень приятно надеюсь, что рецепт займет в семейном меню хоть какое-то место...
Татьяна, сделал вашу рыбку, получилось обалденно	Валюша, я очень рада, что рецепт не подвёл...
спасибо вам за такой простой и оригинальный рецепт	На здоровье и всех благ ...
Какой интересный рецепт обязательно попробую	Марина, спасибо за внимание, и удачи, если соберешься делать...
сегодня готвила рыбку по Вашему рецепту.	Муж и дети остались в восторге!
В соевый соус с водой я дабаила чуть-чуть натертого имбиря и чеснока ( у нас тут цже готовые баночки продают) для духа.	Обязательно попробую тоже ...
Спасибо!	На доброе здоровье, Леночка ...
Как просто и вкусно	Благодарю за внимание и доверие рецепту
делали вчера на праздничный стол такую рыбку,просто супер и никаких хлопот	оооооооооооооочень благодарность от всех гостей
Вот что приготовлю на Благовещение!	Алина, вы не пожалеете, рецепт настолько прост только если возьмете дешевую рыбку, например, горбушу, то такого вкусового эффекта не будет...я делаю только из семги или форели
Татьяна,здравствуйте!	Татьяна,наша семья ОЧЕНЬ благодарна Вам за самый удачнейший рецепт рыбки!
Татьяна,наша семья ОЧЕНЬ благодарна Вам за самый удачнейший рецепт рыбки!	Я очень рада
Возиться с духовкой,запекать и не хочется уже давно,готовлю только так теперь!	Я тоже не могу духовкой пользоваться много, только для выпечки...
Даже моя маленькая трехлетняя привиреда,	которая рыбку совсем не жалует,уплетает нежнейшую от Вас с большим удовольствием,а это дорогого стоит! Дочуру рыбкой накормить до Вашего рецепта почти и не получалось...
"А соус...ну рука не поднимается выливать....к любому гарниру идет на ""ура!"", а сегодня с овощными ролами-ну просто песняяяяя!!!"	Ну а какой вкус,ну это надо пробовать вообщем,кто не знает,не поймет))))....
Ну а какой вкус,ну это надо пробовать вообщем,кто не знает,не поймет))))....	Да, действительно...
Всего 1 минутку на разделку,4 минутки на готовку...	Сочнейшая рыбка,тает во рту.....ммммм....
попала в больницу...	Выздоравливайте Татьяна поскорее,поправляйтесь!!!!
На майские праздники ездили в Воронежскую область,к свекрам любимым.Приготовили там рыбку и им очень понравилось.Скептический настрой сменился довольными отзывами....Готовили форель.	Благодарю, Алина. за то, что смогли оценить ...
Выздоравливайте Татьяна поскорее,поправляйтесь!!!!	Я уже потихоньку вхожу в наш ритм и начала писать. но пока медленно получается...спасибо за добрые пожелания и за фотоотчет...
Здравствуйте,Татьяна!!!	Пусть у Вас,такого красивого и талантливого человека,будет ВСЕ ХОРОШО!!!!
Еще раз хочу Вам выразить огромную благодарность за Ваши удивительные рецепты!!!	И вот семга от Вас навсегда в фаворитах моей семьи. Обожаю.....
Вот......впрок прикупила......... и СЧастью нет предела)))))	Так приятно ... рыбка прелесть... благодарю...
Спасибо за рецепт!	Александра, на доброе здоровье... удачи тебе...
конечно у меня не так красиво получилось, но очень вкусно.	и главное-быстро!!!
Татьяна, рыбка класс, сделаю обязательно	bel-2014
какой на вкус получается рыбка?	Вероника, это вкусно очень, обычная сёмга и сваренная, это очень полезно, лишний жир уходит в воду, а когда в отваре соевый соус, то добавляется привкус его...соли не класть...
