fist_phrase	reply
Восхитительно, очень гармонично и вкусно!	Я очень очень рада!
Очень оригинально! нужно попробовать,,,но только без бекона	Джамиля, спасибо, что оценили блюдо! Можно и без бекона!
Девушки,а как вы смайлики разные вставляете и фотки рецептов????	Смайлики вставлять очень просто - выбрать нужный, подвести к нему курсор и нажать. Чтобы вставить фотки Вам надо прочитать здесь http://forum.say7.info/topic255.html
Дело в том ,что у меня не компьютер и захожу я на сайт через телефон ГАЛакси С2...	Джамиля, тогда я советую Вам задать этот вопрос в раздел Технической поддержки, который находится здесь http://forum.say7.info/forum30.html.
Очень красиво-ярко	Наташенька, спасибо за оценку!
Лена, обажаю этот рис	Да, Катенька, он такой своеобразный и непривычный, но очень вкусный!
Лена, какая вкуснотища!	Леночка, благодарю за такую высокую оценку!
А фотки - это нечто! Особенно горошек! Да и яйца, и перчик, и лучок! Все так аппетитно!	Меня в последнее время тоже приводят в восторг красивые фотки овощей и фруктов!
Елена, ну вот и я с отчетом .	Оличка, как Вы оперативно!
Пойду ка я приготовлю его по вашему рецепту	Оличка, я рада, что Вы выбрали мой рецепт! Благодарю за доверие!
Правда , мне показалось специй маловато и я добавила ложку специй из индийской кухни )	Оличка, иногда есть такой соблазн, особенно вначале освоения.
Я бы посоветовала Вам сначала готовить все же по рецепту, без импровизации, иначе, боюсь, у Вас скоро все рецепты будут похожи один на другой.	Рецепты, особенно в индийской кухне, проверены многими людьми и временем. Там каждая специя и ее пропорция в блюде играет особую роль. Если нет специи, то лучше ее пропустить, чем положить что-то вместо нее. Это мое мнение. Но если Вам такая импровизация нравиться, то я за Вас рада!
Каши терпеть не могла в детстве,когда мама готовила их по утрам и застовляла кушать. А с возрастом полюбила,что это блюдо перешло в ряд фаворитов. Только готовлю я их сладко-солёными или солёными к гарнирам	Абсолютно то же самое
Извините,товарищи,я лучше пресолю. Мне так вкуснее.	Недосол - на столе, пересол - на спине! (русская народная пословица)
Наливаю немного масло раст. без привкуса(примерно 2-3 ст.л.)очищаю чеснок и бросаю в раскалённое масло(не калю до дыма,чеснок очень быстро пригорает) 1-2 зубчиков хватит на стакан риса. Только чеснок зарумянится,высыпаю стакан риса и следом,выливаю 2,5 ст воды.	Вроде все понятно, кроме этого!
что за зверь такой?	?и жарить и печь?
?и жарить и печь?	Печь - вряд ли. Обжаривать холодную, порезанную пластиками или кусочками. Или не обжаривать. А мамалыгу горячую еще едят - с соусами, она как каша густая тогда.
Попробую сегодня порадовать домашних	Удачи!!! Надеюсь, все получится!!
очему у поленты такой неприятный запах? Это специфический запах кукурузной муки	Что нужно делать, чтобы не было комков? Может, если долго варить, комки должны как-то растворяться?
Что нужно делать, чтобы не было комков? Может, если долго варить, комки должны как-то растворяться?	Ты достаточно по времени варила, пробить блендером можно, или миксером. Я так с заварным кремом поступаю.
Очень довольна результатом!	Пахнет кукурузой и вкус приятный кукурузный, нежная консистенция.
Пахнет кукурузой и вкус приятный кукурузный, нежная консистенция.	Пока не делала соус, но с обычным майонезом и зеленью это так вкусно!
Пока не делала соус, но с обычным майонезом и зеленью это так вкусно!	ы решили, что видно мука, из которой у меня не получилась полента, неправильно хранилась и потому вобрала в себя посторонние запах
ы решили, что видно мука, из которой у меня не получилась полента, неправильно хранилась и потому вобрала в себя посторонние запах	Может быть и так
огромное спасибо за рецепт,готовила в первый раз,легко и очень вкусно	Запекла в духовке с черри и моцареллой,
Запекла в духовке с черри и моцареллой,	Очень-очень красиво!!! Здорово ты придумала. Надо и мне так сделать
юблю кашку кукурузную, но такого еще не готовила, обязательно попробую	если кашу любишь - точно не разочаруешься!!!
оя полента, с травками	в кляре
в кляре	А вот это неожиданно.... И как??
кроп, немного мускатного ореха и базилика, куркума.	не знаю может оно и не стоит таких длительных усилий, ну почему-то сразу возникла идея попробовать и я ей поддалась)
не знаю может оно и не стоит таких длительных усилий, ну почему-то сразу возникла идея попробовать и я ей поддалась)	Правильно сделала!! Идеи надо проверять всегда
а, иду с благодарностью	С удовольствием поела
С удовольствием поела	Ну хоть чем-то себя порадовала-побаловала...
Тебе хоть получше??? Сколько ты на этой диете??? Есть эффект??	Пока только пару дней. Дальше видно будет. Надеюсь на положительный результат.
ока только пару дне	Ну, мало еще. Напиши через пару недель - есть ли улучшение. Ты , вроде, пыталась и ничего не увидела... было же такое??
Ну, мало еще. Напиши через пару недель - есть ли улучшение. Ты , вроде, пыталась и ничего не увидела... было же такое??	Ага, было. 2 недели держала, но сейчас месяц минимум буду. Отпишусь.
2 недели держала, но сейчас месяц минимум буду. Отпишусь.	Дай Бог, Динарочка!!!
моя любимая гречка	супер!
ирина какая вкуснятина !!!!! все есть в ней,спасибо Ириш Леночка, НА ЗДОРОВЬЕ!!!! ПочуФствуй себя боярыней!	СПАСИБО, что заглянула на кашку, Еленка!!!
МММ... Знатная кашка!!! СПАСИБО, подружка! Угощайся!!! svetlana-sp писал(а): а вот муж не любит жаль Я даже и не представляю, как можно без гречки обойтись. Я ее варю чаще, чем картошку! svetlana-sp писал(а): А я вот даже без ничего люблю, просто маслица сливочного побольше, вкусноооо!!!! и с молочком мммм	Ириshа
Ой, Ириша представляю, какая это вкуснятина получается Просто обожаю гречку Леночка, а как же я рада, что ТЫ любительница гречки!!!	У меня дома уже долгие годы прижился вариант похожего блюда, но только с жареным луком и яйцом...а вот копчености и грибочки надо будет обязательно попробовать, получится еще более сытно Да, кашка получается сытной и ароматной!!!! Ленусь, буду рада, если опробуешь рецептик!!! Дегустируй на ЗДОРОВЬЕ!!!! Леночка, СПАСИБО, что оставила свой отзыв!!!
У меня дома уже долгие годы прижился вариант похожего блюда, но только с жареным луком и яйцом...а вот копчености и грибочки надо будет обязательно попробовать, получится еще более сытно Да, кашка получается сытной и ароматной!!!! Ленусь, буду рада, если опробуешь рецептик!!! Дегустируй на ЗДОРОВЬЕ!!!! Леночка, СПАСИБО, что оставила свой отзыв!!!	Мышка Иринка
ну беру конечно! роднуля! ну, кАнЭшна отдаю, золотуля! Мышка Иринка писал(а): мой муж любитель гречки и копченостей вот обрадуется! Иришик, побалуй милого!!! Он будет тебе благодарен!	СПАСИБО, любимочка, что заглянула! Всегда тебе рада! Ну, ты же знаешь!
И я,пожалуй, с удовольствием угощусь такой кашкой	ставлю в меню на завтра!!! Аделюсик, буду несказанно рада, если кашка попадет в твое меню!!! Буду ждать тебя, дорогая!!!!
ставлю в меню на завтра!!! Аделюсик, буду несказанно рада, если кашка попадет в твое меню!!! Буду ждать тебя, дорогая!!!!	аж слюнки побежали. Обожаю всё с грибочками Надюша, и для тебя тарелочка найдется!!! Бери большую ложку!!!!
аж слюнки побежали. Обожаю всё с грибочками Надюша, и для тебя тарелочка найдется!!! Бери большую ложку!!!!	а стакан по рецепту это 250 гр? или больше? че т он (стакан) на фото выглядит внушительно Ириш , это он толстостенный , сама была удивлена, обнаружив, что в нем 250 мл
а стакан по рецепту это 250 гр? или больше? че т он (стакан) на фото выглядит внушительно Ириш , это он толстостенный , сама была удивлена, обнаружив, что в нем 250 мл	Вчера как раз купила кашку гречневую и думаю что бы такое из нее приготовить и вот твоя каша -боярски Светочка, моя хорошая , как я вовремя с рецептиком подоспела!!! Вкусной кашки, дорогая!!! СвеTл@нк@ писал(а): рецептики просты и вкусны и некоторые действительно забыты ой, и не говори, Светик! Представляешь, вот такую кашку ели наши прапрапрадеды , да из русской печи , томленую
Вчера как раз купила кашку гречневую и думаю что бы такое из нее приготовить и вот твоя каша -боярски Светочка, моя хорошая , как я вовремя с рецептиком подоспела!!! Вкусной кашки, дорогая!!! СвеTл@нк@ писал(а): рецептики просты и вкусны и некоторые действительно забыты ой, и не говори, Светик! Представляешь, вот такую кашку ели наши прапрапрадеды , да из русской печи , томленую	у меня муж не очень гречку любит, а в таком варианте наверное съест и не одну тарелочку попробую на неделе Валюша, надеюсь твой муж останется доволен!!! А если нет, то к вам приеду и сама все СЪЕМ!!! JIuca писал(а): правда грибочки не лисички Ириш, любые пойдут? Конечно, Валечка! Грибы по вкусу и по сезону! Что-то давно тебя не было видно, землячка моя дорогая , не пропадай!
у меня муж не очень гречку любит, а в таком варианте наверное съест и не одну тарелочку попробую на неделе Валюша, надеюсь твой муж останется доволен!!! А если нет, то к вам приеду и сама все СЪЕМ!!! JIuca писал(а): правда грибочки не лисички Ириш, любые пойдут? Конечно, Валечка! Грибы по вкусу и по сезону! Что-то давно тебя не было видно, землячка моя дорогая , не пропадай!	Девочки, мои дорогие, СПАСИБО БОЛЬШОЕ, что зашли и оставили свои отзывы и комментарии!!!! Я очень-очень вам рада!!! Угощайтесь НА ДОБРОЕ ЗДОРОВЬЕ!!!!
У меня дома уже долгие годы прижился вариант похожего блюда, но только с жареным луком и яйцом.	Я тоже всегда так готовлю гречку, иногди и грибочки добавляю, но не так много, как у тебя! А у тебя и грибов море (кашу грибами не испортишь ), и грудинка копченая!!!!! Сплошное объедение!!!! Спасибо, моя хорошая, за вкусняшку!!!!!
"Ирочка, хочется сказать, как в фильме: ""Здрав будь, боярин!"" - и подать такую кашку на стол! Оксаночка , вот за что я люблю твои визиты - такой позитиФФ от них исходит и настроение поднимается !!!!!"	Какая кашка-вкусняшка!!! Спасибо, дорогое солнУшко за такую красоту! Забираю в закрома! Олюня, дорогой мой человек , знаю-знаю, что твои закрома полны , но мне будет ооочень приятно, если и моя кашка там пристроиться!!!!
Какая кашка-вкусняшка!!! Спасибо, дорогое солнУшко за такую красоту! Забираю в закрома! Олюня, дорогой мой человек , знаю-знаю, что твои закрома полны , но мне будет ооочень приятно, если и моя кашка там пристроиться!!!!	Даааа, видать, знали толк в гречневой каше эти бояре выглядит очень аппетитно Обязательно в закладочки Ксенечка, дорогая , и тебе отдаю с прибольшим удовольствием! Бояре толк знали
Даааа, видать, знали толк в гречневой каше эти бояре выглядит очень аппетитно Обязательно в закладочки Ксенечка, дорогая , и тебе отдаю с прибольшим удовольствием! Бояре толк знали	Вот Ириша теперь благодаря тебе будем ужинать по -боярски!!!!!!!!! Наталочка , буду счастлива быть причастной с вашему боярскому ужину!!!
Вот Ириша теперь благодаря тебе будем ужинать по -боярски!!!!!!!!! Наталочка , буду счастлива быть причастной с вашему боярскому ужину!!!	Обязательно приготовлю такую суперскую кашу в мультиварке, даже аромат ее уже чувствую !!! Наташенька, подруженька , готовь на доброе здоровье!!! Надеюсь, кашка у тебя будет ВЫСШИЙ КЛАСС!!!
Обязательно приготовлю такую суперскую кашу в мультиварке, даже аромат ее уже чувствую !!! Наташенька, подруженька , готовь на доброе здоровье!!! Надеюсь, кашка у тебя будет ВЫСШИЙ КЛАСС!!!	Я тоже всегда так готовлю гречку, иногди и грибочки добавляю, но не так много, как у тебя! А у меня дядя на гуталиновой фабрике работает... Этих грибов завались! Вот потому и КЛАДУ многА! Ларисонька, как же ты права , ни грибами, ни грудинкой кашу не испортишь!
Я тоже всегда так готовлю гречку, иногди и грибочки добавляю, но не так много, как у тебя! А у меня дядя на гуталиновой фабрике работает... Этих грибов завались! Вот потому и КЛАДУ многА! Ларисонька, как же ты права , ни грибами, ни грудинкой кашу не испортишь!	Ой, девочки, как приятно и радостно всех вас видеть у себя в гостях!!!! СПАСИБО вам, мои хорошие!!!! Я вас ЛЮ!!!!
МММ... Знатная кашка!!!	Спасибо, Иришенька, раздразнила вкуснятиной, гречку обожаю вот даже без ничего люблю, просто маслица сливочного побольше, вкусноооо!!!!
Хочу угостить вас кашкоЮ , да не простоЮ , а боярскоЮ !!!	Как прочитала,так пропала!!! Сразу вспомнилась бабушка-сказочница из русских сказок,которые мы все смотрели с упоением по телевизору!
Оксаночка give_heart , вот за что я люблю твои визиты girl_in_love - такой позитиФФ от них исходит и настроение поднимается !!!!!	Ирочка, так это от твоих рецептом позитиФФчик просыпается! Наемся виртуальной кашки, ну, или утащу еще чего-нибудь в твоего виртуального стола и как начнет переть остановиться не могу
Леночка,аромат через монитор просочился	представляю вкус этого плова!!!
Уже хочу такого плова!	Ленчка, спасибо за очередной шедевр индийской кухни.
Очень интересный полвчик! Забирам-ням-ням!	Наталья, спасибо за интерес!
Какое чудо Обязательно приготовлю	Карин, буду рада, если плов Вам понравится!
Супер!!!!вкусняшка!обязательно приготовлю)	Алеся, спасибо за оценку рецепта и готовьте на здоровье!
Вот это суперский плов! уже чувтсвую аромат и вкус!	Наташенька, я очень рада, что рецепт заинтересовал!
ВКУСНЯТИНА!!!!!!!!	Евочка, спасибо большое за твою высокую оценку!
Ленок, у нас тоже есть подобный плов - с курагой, изюмом, миндалем и др. орехами...	Да-да, у Вас есть вкусные особые пловы!
Но у нас, конечно, без таких специй..	Ну должно же быть какое-то отличие между индийской и армянской кухней!
Леночка,Какой чудесный плов	Ликочка, я рада, что ты обратила внимание на этот рецепт!
При случае обязательно приготовлю	Буду невероятно счастлива, если ты его приготовишь!
Шикарный плов	Олюся благодарю!
Такой необычный вкус получился,со сладинкой,очень интересный,мне понравился очень!	Леночка, я рада, что этот плов, наконец-таки, удалось сделать и он понравился!
Только единственное делала без кардамона и светлого изюма,но зато был тёмный,я думаю и его вполне достаточно было)	Это незначительные изменения. Думаю, что должно было получится как в оригинале!
Спасибо большое за рецепт!!!	И Вам спасибо за Ваш отзыв!
Очень вкусно, как всегда, но по-другому, да и вид совсем не такой. Зато все специи были и даже изюм двух видов. Спасибо за отличные рецепты.	Ната, я очень рада, что вы попрбовали этот рецепт!
Отличная кашка! А мне ещё нравится тыквенная каша с пшеном.	Надо будет братика удивить новизной вкуса тыквенной каши
Кубиками нарезанную тыкву тушу в молоке до готовности, затем тыкву разменаю в кастрюле как картофельное пюре. Затем, доливаю молока и кладу рис. И варю до готовности риса, не забывая помешивать. Кода каша уже в тарелке можно посыпать сахаром. Это моя любимая каша с детства))).	Я так варю овсяную кашу с яблоками для ребенка . Только варю сначала в воде, а к концу добавляю молока, немного варю и готово .
Не подскажите, а можно ли такую кашку приготовить в горшочках в духовке?	Никогда так не готовила, но думаю, что можно. Для страховки я бы отварила рис до полуготовности заранее, в воде.
то добавляю в нее яйцо,чуточку кефира,соды и муки и в виде оладьев уплывает тут же!	Люд!!!! Классно!!!!
Подружки, правда нам Луша балдёжную идейку подкинула..	Правда!
пробовала рис с гречкой смешивать	Я тоже так делала, а сегодня варила рис и пшонку
сливки обязательно класть или можно всё- таки обойтись?	Я думаю....вполне
Я гречку (сырую) с вечера заливаю кефиром или ряженкой, а утром она готова.	Какой интересный рецепт, спасибо что поделилась,Оленька. А гречку используешь коричневую, жареную или зеленовато-бежевую, сырую?
только недавно узнала, что зеленовато-бежевая более полезна	И я тоже недавно о ней узнала.Даже один раз ее купить удалось
но думаю, что тоже должно получиться.	Она более слизистая ее надо замочить, а потом получше промыть от слизи.
такую кашу можно использовать в качестве разгрузки, если в течение дня её есть и более ничего (пить можно), то наутро минус кило. Конечно без соли и сахара.	Спасиюо, что поделилась,Оленька
каши-только цельные.быстрые нельзя	являются рафинадом.
являются рафинадом.	Овсянка быстрая -дважды выпаривается,без пищ.волокн,откладывает много слизи
каши только со специями(имбирь,кр.перец,карри...) или овощами.они попадая в 12_ти перст.кишку переваривают пищу.Обязательно к каше оливковое,топленое или растюмасло.	Юленька, а какие специи или букеты тебе нравятся?
Овсянка быстрая -дважды выпаривается,без пищ.волокн,откладывает много слизи	Манка-содержит глютен,лишина пищ.волокон.
тут полезная информацмя	Танечка. и ты тоже внесла в это свой вкалад
я каши очень люблю!пшено ячка гречка кукурузная горох фасоль чечевица...рис не шлифованный.	Думаю зайдет Лена Олина и добавит)))
Делала уже таким образом гречку - мне очень нравится.	Да, гречка вкусная получается, согласна!
А сегодня попробовала рис Получилось просто рисинка к рисинке.	Рису меня тоже именно рисинка к рисинке получался, а перловка тоже крупинка к крупинке и не перевареная.
Буду еще экспериментировать.	Хотелось бы знать о твоих экспериментах, солнышко!
Хотелось бы знать о твоих экспериментах, солнышко	Обязательно!
Обязательно!	Это замечательно!!!
Зачем вообще нужно не варить крупы?	Считают, что таким образом в крупах сохраняется больше ценных для организма веществ.
Просто я вознамерилась похудеть (так, собственно, форум и нашла), и вот думаю, если кашу не варить, а делать, как сказано в рецепте, она типа менее калорийной будет или нет?	Как мне кажется на калорийности это возможно не отразится, а вот клетчатка в такой каше будет более грубой, что может улучшить работу кишечника и это может позитивно в целом сказаться и на организме и на процессе сбрасывания веса. Но лучше еще дополнительно задать этот вопрос девочкам, которые придерживаются одноименнной диеты. Я тоже на диете, но по монтиньяку (здесь по-моему я одна такая) ) )
Оно на похудении как-то скажется, али нет?	Я думаю любые здоровые рецепты хорошо влияют на общее оздоровление организма. А облегчение веса - тоже оздоровление
Спасибо, Лена!	Не за что, Галюня
я все равно не могу каши без приправы есть ))	А чем же плоха приправа? Смотря какая конечно, но если это овощи или травы - это только улучшает пищевую ценность. Самое главное, чтобы было правильное сочетание и натуральные продукты
пеловка - моя самая любимая крупа с детства	я сама ее очень люблю, очень!
но никогда ее не пробовала не вареную... обязательно надо это исправить)	Ее совсем немножечко все-таки желательно поварить после замачивания, на мой вкус. А замачиваю я ее иногда в холодной воде и достаточно часа 4 до готовки, если на ночь забыла замочить.
Спасибо, Елена за описание,как правильно это сделать	Ирочка, вы очень наблюдательны!
мне оч нравятся Ваши полезные рецепты!	как приятно! Когда пригождается все то, к чему сам приложил старание!
забрала в закладки и пошла дальше лазить по Вашим рецептам))))	Очень надеюсь, что еще что-то порадует!
Эту каша у нас - раз в неделю точно готовится Сыночек, чуть ли не тарелку вылизывает	какой молодец!! я в детстве терпеть не могла овсянку а потом как распробовала,теперь не оторвать а особенно такую,с яблочками!! очень рада что сыночку нравится кашка!!! спасибо за фото!!
Катюш, а это количество ингредиентов рассчитано на сколько порций? Я вот думаю приготовить, может всё-таки проснётся любовь к овсянке.. Только хочу сделать порцию для себя.	я бы не сказала что каши получается много 2 мисочки получается. Подели пополам игредиенты, для первого раза идеально. буду очень рада если эта каша поможет подружиться с овсянкой
Сынуля на этой неделе как раз говорил, что кашу не любит, особенно овсянку. Ну я ему сварила по твоему рецепту. Сказал, что очень вкусно!!!! Буду варить еще!	вот так и я когда-то поменяла свое мнение об овсянке!! и это здорово готовьте на здоровье!!
ага, очень вкусно сделала вчера себе, за один присест съела)) а кислят именно дольки яблок, ну лично у меня можно наверное, попробовать яблоки потереть туда	еще очень вкусно с грушей она не кислит.
спасибо за рецепт!	на здоровье!!! очень рада что каша понравилась
Какой необычный рецепт никогда не думала, что кашу можно на соке варить надо попробовать	еще как можно!!! а как это вкусно!!!
Катя!	Варила кашу уже трижды, даже муж ест!!!
Вкусно до безобразия	Муж и малая в восторге
Очень кашки такой захотелось	Катя, скажите, хлопья должны быть крупными? Т.е. не измельченными? Т.к. в продаже бывают разные. Какие бы лучше подошли для этой каши?
"как сказал сынуля ""АБсянка вкусная как буд-то это и не АБсянка"" Спасибо!!! я брала правда не совсем овсянку, а кашу Nordic.там смесь хлопьев. но сама идея- потрясающе вкусная!"	очень рада что сынуле понравилась каша!!!
Кашу овсяную не люблю, ем всегда через силу, сделала по вашему рецепту, получилось такая вкуснятина. И то я делала без сока, а хлопья размолола в кофемолке, мне так больше нравится. А вместо яблок добавила яблочные чипсы. В общем, по этому рецепту овсянка действительно вкусная получается.	очень рада что даже не любители овсянки едят эту кашу!!!!
Так что твой рецепт , Катенька, у меня в закладках. Буду пробовать.	такая кашка понравится даже нелюбителю овсянки!!! настолько она нежная,сливочная и очень ароматная!!!
мне очень понравилась, только корицы не оказалось, делала без нее. Но тоже ооочень вкусно))	а я всегда делаю без неё,не люблю её совсем ))) но и так супер вкусно! очень рада что каша понравилась
Катюш, готовила сегодня на завтрак твою кашу- правда только себе муж у меня не любитель и сразу сказа что кушать не будет- так что варила только для себя и кстати ,я делала 1/4 порции - мне как раз хватило наестся очень вкуснаЯ	у меня тоже есть такие не любители,которые потом почему-то становятся любителями и съедают всю кашу рада что кашка понравилась!!! спасибо за фото!!
у меня тоже есть такие не любители,которые потом почему-то становятся любителями и съедают всю кашу	вот тут самое трудное- уговорить попробовать- мой отказывается
рада что кашка понравилась!!! спасибо за фото!!	спасибо -я теперь так часто варю
вкуснятинка готовила такое) домашние остались довольны)	на здоровье всей семье!
Этот плов люблю с детства.	Натуль, лучше его есть утром или вечером??
Натуль, лучше его есть утром или вечером??	Натулья в выходные варю и на завтрак и на обед,а иногда хочется мне лично на ужин,любою его очень
.когда захочется,тогда и приготовь	хорошо! Только я опасаюсь , чтоб не поправляться
хорошо! Только я опасаюсь , чтоб не поправляться	я когда этот рис ем,не думаю о том,что поправлюсь
nata69, я так долго искала рецепт этого сладкого плова!!! И все было не то. Я наконец нашла тот самый вкус из детства! Спасибо за рецепт!	Иринка,на здоровье
Ой, ну до чего ж вкусный плов! Варю и съедаем сразу с детьми, вроде и сытный, но хочется еще и еще!	Анна,на здоровье деткам
Добрый вечер!	Сегодня утром готовила плов на завтрак ,а вечером доедали на ужин!
Оооочень вкусно!	Спасибо, Наталочка, за все твои рецептики!
В общем сделала с утра кашу, вместо чернослива на первый раз положила курагу, и сахара поменьше. Мы с мужем пришли от плова в восторг! Я, честно думала, что её хватит на то чтобы дважды позавтракать, судя по т ому сколько её получилось, и что же? Вхожу на кухню, кастрюлька приоткрыта, в ней ложка, и половины от оставшейся каши уже нету! Это мой недокормыш с ложкой побирался в кухне. В итоге оставшийся плов я доела на ужин	вот и у меня он так же съедается,с добавками и молниеносно
Это мой недокормыш с ложкой побирался в кухне.	В общем теперь будем ударно питаться твоим пловом. Спасибо за такую вкуснотищу!
В общем теперь будем ударно питаться твоим пловом. Спасибо за такую вкуснотищу!	еще раз на здоровье вам!
Спасибо за подсказку добавить грибы!!!	Приятно пригодиться
Ну малокалорийной кашу, конечно, не назовёшь	Вот не соглашусь
подожду немного и тогда обязательно с отчётиком приду	Но если только немного
обьязательно буду делать , обожаю и гречку и овощи...	Ага, я тоже их обожаю
Гречу обожаю	И я
Всегда делаю такую!!!	Здорово
Фотографии просто восхитительные	Вы в этой форме готовили?
Вы в этой форме готовили?	да,в этой, другой формы у меня тут нет .
Красотища	Благодарю!!!!
сложила в огнеупорную посуду и поставила на 2 часа в духовку температуру выставила 100 гр .	Ух ты, классная идейка, я так не пробовала Отличный вариант, если кашу нужно приготовить быстрее! Спасибо за идею
Спасибо за идею	На за что ,Елена!!!
вкуснейшая каша!!! нам пре, преочень понравилась!!!!	Lana, я тоже очень-очень рада, что мой рецепт вызвал такие восторженные эмоции Спасибо большое за такой отзыв, мне ооочень приятно Кушайте на здоровье
Вкусная каша, я так готовила, только без капусты, теперь попробую и с капусткой.	Попробуйте обязательно-очень вкусно!!!
с капустой так непривычно наверно будет, но попробую	Olesya, я тоже, когда первый раз увидела рецепт, отнеслась к капусте в каше очень скептически Но попробовав, не разочаровалась ни на грамм! С ней каша получается не только вкусной, но еще и более нежной. Так что буду очень рада, если решишься попробовать и напишешь о своих впечатлениях
Лена, беру в закладки	Людмила, спасибо что заглянули Буду надеяться, что в закладках долго не залежится
"каша получилась очень-очень вкусная готовила уже 2 раза в мультиварке-скороварке. Может кому интересно, режим ""рис (крупа)"" 12 мин., потом отключила почти до полного остывания. Каша получилась мягкая пушистая"	Trino
Полтавская более крупного помола,а артек-меленький.Поэтому для каш его и используют.	Не надо фантазировать.
Не надо фантазировать.	Виктор, а в чем по Вашему разница?
А я думаю: что же на завтрак приготовить...	НАШЛА!!!
Елена, спасибо большое!	Татьяна, на здоровье! Мне очень приятно, что каша все-таки состоялась и понравилась!
