fist_phrase	reply
Он пьёт шампанское в великолепном доме каждый день.	Если вам что-нибудь надо, берите сами.,,,,,,
"Давным-давно я пришла на обед,"""	"и его мать"", тогда она была ещё жива, была там.,,,,"
"И за обедом я сказала,"" что надо бы устроить вечеринку - отпраздновать"	"появление """"""""differance"""""""" с """"""""А"""""""""""""",,,,,,"
"Мне не было интересно,"" что он будет пить."	"Мне было интересно"", что он принес с собой.,,,,,"
... то пей сколько влезет.	Но я уже сказал.,,,,,,,
"Лицо как лето. Мясо в ваших типи,смеющиеся дети, поющие для девушек воины,""свобода людей."	" Какие духи дали тебе силу предложить такой мир?"",,,,"
"Нож, убивший моего отца,"" не разрежет мясо в моём типи."	"Мой брат"", Вождь волков, молчаливее иссушенной земли.,,,"
"и отцы наших отцов,"" подать нам пищу и мир."	"Тайминг: МАВЪР РЕКЪРДС"",,,,,,"
"Странно,"" мои руки пахнут мясом."	"Это знаменитый Доберман?"",,,,,,"
"Сендвичи с багета,"" холодные напитки."	"Острый соус добавить?"",,,,,,"
"Ты такой худющий,"" кушай больше."	"Ты ничего не говориш про учебу."",,,,,,"
"Конвоиры прибывают после обеда,"" слышишь?"	"- Чего? - Конвоиры прибывают после обеда!"",,,,,,"
- Чего? - Конвоиры прибывают после обеда!	Чего?,,,,,,,
Намного вкусней если мясо чуть-чуть подпортится.	Сейчас они еще выпьют,,,,,,,
Он сгниет и вытечет словно суп из твоих ушей.	Это то, что делает телевидение!,,,,,,
"Я скушаю Вас,"" Доктор!"	"- Я не позволю Вам этого"", Магпи. - Помогите мне, Доктор!,,,,"
Лимонад? - Я не хочу пить.	Расслабься!,,,,,,,
"Мам,"" могу я пообедать у Неле?"	"Рисовый пудинг с корицей!"",,,,,,"
Что будете пить?	В другой раз.,,,,,,,
Я собрал топливо... И пищу.	Вы не теряли времени даром.,,,,,,,
"Но, в отличие от вас,"" мы не используем пламя для приготовления еды."	"Только для обогрева?"",,,,,"
Пей на здоровье! Всего 200 баксов за бутылку!	Итак, Робийяр дал ответ? Насчет работы с тейлонами?,,,,,,
- Вы кушали? - Да. Спасибо.	Пойду себе что-нибудь приготовлю.,,,,,,,
"Он не знает, что я еду,"" поэтому я бы хотела позвонить ему."	"Позвонить?"",,,,,"
"- Выпей. - Нет,"" я не хочу пить."	"- Что тогда случилось? - Мне тут страшно."",,,,,,"
Я хочу уточнить у тебя на счет обеда у Питера.	Да, да, конечно.,,,,,
Завтрак!	Нужно все съесть? Мадам говорит, что вы похудели.,,,,,,
"- А что это? - Каша, яичница с беконом,"""	"тосты с медом"", фрукты.,,,,"
"тосты с медом,"" фрукты."	"Еда для очень занятого человека."",,,,,,"
Еда для очень занятого человека.	- Решила поиронизировать? - Не думай, что я ревную,,,,,,
- Сюрприз. Я еду с тобой. - Это невозможно.	Почему?,,,,,,,
- Я все равно еду с тобой. - Не будь такой упрямой.	- Ну, так что? Я еду. - Знаешь что?,,,,,,
"- Ну,"" так что? Я еду. - Знаешь что?"	"- У меня тоже есть для тебя сюрприз. - Что это?"",,,,,,"
"Выпивка 85 сэнов,"" бери или уходи."	"Почему ты так безобразно коверкаешь все слова?"",,,,,,"
Когда мы будем делать клубничный пирог?	Скоро. Сейчас я договорю.,,,,,,,
"""Ищу работу за еду"""	"""""""Я люблю тебя,"" папа"""""""""""""",,,,,,"
Он пьёт?	О, я подумала, вы о судье.,,,,,
"""Бездомный ветеран. Нуждаюсь в еде и деньгах"""	- Как дела? - Всё хорошо. А как вы?,,,,,,,
"Извините,"" у нас завтраки закончились. У нас есть обеды."	"- А я хочу завтрак. - У нас вы его не получите."",,,,,,"
- А я хочу завтрак. - У нас вы его не получите.	Вот как.,,,,,,,
- Я хочу позавтракать. - С завтраками мы закончили.	Я знаю, что вы уже закончили. Iейла сказала мне об этом.,,,,,,
Мы заканчиваем подавать завтрак в 11:30.	Рик, ты слышал такое выражение: клиент всегда прав?,,,,,,
Это не меняет дела. Выберите себе обед по меню.	Я не хочу обедать. Я хочу завтракать.,,,,,,,
Я не хочу обедать. Я хочу завтракать.	Ничем не могу помочь. Очень сожалею.,,,,,,,
"Нет, нет,"" садитесь и доедайте свой обед. Давайте."	"Просто расслабьтесь"", и спокойно доедайте свой обед.,,,,"
"Просто расслабьтесь,"" и спокойно доедайте свой обед."	"Пожалуйста"", ешьте, всем нужны витамины А, В и С.,,,"
"Пожалуй,"" я сЪем обед. Двойной гамбургер с сыром."	"- Можно? - Да"", сэр.,,,,,"
Как дела? Нравится еда?	А тебе, сынок? Вкусно?,,,,,,
"А вам,"" мэм: как еда?"	"Кажется"", не очень.,,,,,"
"Какой-то тип в каaе угрожал автоматом из-за того,"" что ему не дали завтрак."	"А потом заплатил и ушёл."",,,,,,"
К моему приходу приготовь обед.	И, Аманда, не вздумай снимать цыплячью шкурку. Хорошо?,,,,,
"Делать детей. Как пироги,"" делать детей."	"Твоя малышка - прелесть."",,,,,,"
Я съедаю внешнюю сторону днем -	И оставляю серединку на ночь.,,,,,,,
Мы в Исландии едим их сырыми. - Убери это в свою коробку для завтрака!	Вот дела. Это настолько странно для нас.,,,,,,,
- нашу пищу. И еще одна вещь...	Камма, убери эту вещь в свою сумку, Сейчас не время ланча...,,,,,
"Это - обычная еда,"" которую мы едим в Исландии."	"Копченый мозг овцы."",,,,,,"
Спустись и позови его к нам. Предложи ему поужинать с нами.	Хочешь зайти?,,,,,,,
Кишка усваивает пищу и витамины.	Компоненты нашей пищи, в которых организм не нуждается -,,,,,,
"Компоненты нашей пищи,"" в которых организм не нуждается -"	"выводятся"", как шлаки.,,,,,"
Сопернику не знать побед. Его сьем на обед.	И съем его носок. Бокс - мой конек.,,,,,,,
"Когда он голоден, то жрет, извините... то есть,"" ест абсолютно все."	"А что всего больше всего любит страшный злой медведь?"",,,,"
"Что вам не нужно,"" Мне отдайте на ужин."	"Эрнест"", Эрнест, зовусь я Эрнест.,,,,"
На ужин мне бы Горбушечку хлеба.	Дав немного сейчас, Ощутите тотчас,,,,,,
Пойдет на закуску Кусок вафли вкусной.	Отведать бы снова Мне вафли медовой.,,,,,,,
"К тому же,"" подбирать еду на помойке вредно для здоровья!"	"В помойке сплошные микробы! Грипп"", тиф, гепатит, холера!,,,"
"А ну, в постель, сейчас же! Тебе надо пить,"" Эрнест."	"Когда жар"", надо много пить.,,,"
"Когда жар,"" надо много пить."	"Нет"", нет, нет! Пустите меня! Пустите! Не хочу! Пустите!,,,,"
А кто у нас страшный злой сейчас будет завтракать?	Заодно и я еще один денек поживу.,,,,,,,
"У нас был обед из 7 блюд,"" и ты ни одного не можешь вспомнить."	"Но если я напомню что мы ели мясо"", ты вспомнишь, что к нему был картофель.,,,,"
"Но если я напомню что мы ели мясо, ты вспомнишь,"" что к нему был картофель."	"Нам нужно запустить процесс."",,,,,"
"Что ж,"" выпивка у нас есть."	"Может"", у мисс Супермодели остались наркотики!,,,,,"
"Послушайте, у нас нет еды, самолёт полон раненых,"""	"а больному диабетом остались считанные часы до комы."",,,,"
"И уже в самый первый вечер мы пили мартини,"""	"смотрели на этот красивейший закат."",,,,,,"
- Вот. Всё ещё хотите пить? - Да.	- Спасибо Вам большое. - Не за что.,,,,,,,
- и всему остальному. - Так ты пьёшь из-за этого?	Скажу тебе вот что.,,,,,,,
"Я брошу пить,"" если ты расскажешь мне всё о своих недостатках."	"Ну"", моя дочь думает, что я впал в детство.,,,,"
"Я угостил ее выпивкой,"" а она дала мне свой телефон."	"Через три дня я переехал в ее квартиру."",,,,,,"
"Можно, но если ты пьешь и играешь, они думают,"" что тебе плевать на их любовь."	"Найди такую"", которой нравится пить, играть и ебаться.,,"
"Найди такую, которой нравится пить,"" играть и ебаться."	"Да кому нужна такая?"",,,,,"
Мы с Мэнни стали задерживаться на обеде...	...и возвращались, куря хорошие сигары. Новая жизнь плохо вязалась с Джен.,,,,,,
"Посмотри на себя! Налил себе хорошего виски,"" а я тут эту сивуху пью."	"- Великолепный мистер Конный игрун! - Я тебе отдал душу."",,,,,,"
"И красотке тоже налей,"" что она там пьет."	"Это было моей последней рюмкой. Ни гроша не осталось."",,,,,,"
"И выпить дает,"" только когда сам пьет."	"Но Джерри как-то раз его все-таки развела."",,,,,,"
"Пока живешь у нас, я буду начислять деньги за комнату,"" за еду и за стирку."	"Когду устроишься на работу"", отдашь из зарплаты столько, сколько ты должен.,,,"
"- Да. - Откуда деньги на выпивку,"" у тебя же их нет?"	"- Я найду работу. - Как?"",,,,,,"
"Спасибо за еду,"" мам."	"- Ты что"", есть не хочешь? - Нет. Я сыт, спасибо.,,,,"
"Пить посреди недели,"" при этом не работая?"	"Ну"", как раз в такие моменты и не мешает выпить.,,,,,"
"Она ушла,"" а я пил три дня и три ночи."	"Когда пришел в себя"", работы у меня уже не было.,,,,,"
"Спалили,"" когда пил на работе."	"А деньги дали?"",,,,,,"
"Погнали купим тушеного мяса,"" овощей и бутылочку французского вина!"	"- Мне сказали"", что чек еще не готов. - Что? Но закон ведь!,,,,,"
"Смотри, чтоб он не увидел,"" как мы пьем. Он этого очень не любит."	"Опусти."",,,,,"
Они знают толк в выпивке.	И они пьют, чтобы забыть своих женщин.,,,,,,
"И они пьют,"" чтобы забыть своих женщин."	"Не"", они просто пьют.,,,,,"
"Не,"" они просто пьют."	"- Вот блядь. - А вот и он."",,,,,,"
Не встанешь из-за стола пока не доешь свои овощи.	Буду сидеть, пока один из нас не сдохнет. А ты старше на добрых 40 лет, женщина.,,,,,
"Стьюи, я жду,"" когда ты наконец разделаешься со своими овощами."	"Будь уверена"", злобная ведьма, думаю, разделаюсь разом с ними всеми!,,"
"Съедаешь последний кусок пиццы,"" чтобы мы из-за него не подрались."	"Да"", папочка. Не отколи ты такой штуки...,,,,,"
И ваша жена - кусок пирога?	Правильно. Люблю тебя!,,,,,,,
"Да ладно,"" девочка. Я хочу пить."	"Ладно"", ты не хочешь входить? Отлично. Я привяжу тебя к этому счетчику для парковки.,,,,,"
"Не волнуйся,"" к обеду вернемся."	"Осторожно"", Джон. Звезда чрезвычайно активна.,,,,,"
Малейшая слабость и тебя съедят на обед.	Я не проявляла слабости.,,,,,,,
"Думаешь,"" меня волнует эта груда мяса?"	"Вот что я вам скажу: мертвый он ничего не стоит."",,,,,,"
Обед в кают-компании?	Ясно. Оставь нас.,,,,,,,
И на закуску.	Что тебе надо?,,,,,,,
"Может,"" не стоит пить?"	"Попробуешь?"",,,,,,"
Мое мнение таково: меньше мышц - нежнее мясо. Тридцать	- Проблема? - Нет,,,,,,,
"- Это ваша говядина? - Нет,"" сэр"	"Если вы ищете хозяев"", владельцы вон там,,,,,"
"знал,"" что рискую вашим званным обедом"	"Не смей быть непочтительным со мной"",,,,,,"
- Я опаздываю. Подвезти тебя? - Я не еду. Пообещал побыть с отцом.	Какие мы обязательные!,,,,,,,
А вот и обед.	- Не надо плакать. - Почему?,,,,,,,
- Каким образом? - Я приношу ему еду.	С какой стати вы будете мне помогать?,,,,,,,
- У меня еда между зубов застряла? - Кто там у тебя в списке?	- Ты им деньги выплачиваешь? - Нет, это делаю не я.,,,,,,
- Но я готовлю суп. - Я серьезно. Сваливай.	- Что стряслось? - Это из-за фильма. Уходи немедленно!,,,,,,,
- Но я готовлю суп. - Уходи!	- Что стряслось? - Это из-за фильма. Уходи немедленно.,,,,,,,
"Эй,"" не отлынивай! Готовить нам ужин - это ведь обязанность твоей сестры!"	"Я это знаю!"",,,,,,"
"Почему? Еда всегда останется едой,"" и неважно кто её приготовил..."	"Я это есть не буду!"",,,,,,"
Хочешь кушать?	"""Как насчёт """"рамена"""" или ещё чего..."",,,,,,,"
"<i>...я ел,"" и не чувствовал вкуса этой еды..."	"<i>Но я чувствовал..."",,,,,,"
"Эй,"" не отлынивай! Готовить нам ужин - это ведь обязанность твоей сестры!"	"Я это знаю!"",,,,,,"
"Почему? Еда всегда останется едой,"" и неважно кто её приготовил..."	"Я это есть не буду!"",,,,,,"
Хочешь кушать?	"""Как насчёт """"рамена"""" или ещё чего..."",,,,,,,"
"<i>...я ел,"" и не чувствовал вкуса этой еды..."	"<i>Но я чувствовал..."",,,,,,"
В прошлом году я почти разорился на одной еде.	Спасибо. Я вру всем, что я знаю о своих вечерах.,,,,,,
"Нет,"" у нас за ужином вино."	"Кстати об ужине"", нам пора.,,,,,"
"Кстати об ужине,"" нам пора."	"Ну что покатили?"",,,,,,"
Значит я приготовила всю эту еду для...	Я надеюсь ты не уедешь?,,,,,,,
"Нет,"" Можешь взять. Только не ешь за завтраком."	"- Хорошо"", я тебя люблю. - Я тебя тоже люблю.,,,,,"
Я не заказывала напиток.	Это от джентельмена у бассейна.,,,,,,,
Я передал вам напиток.	Да, спасибо.,,,,,,
...пока вы не согласитесь поужинать со мной.	Извините, мисс.,,,,,,
"Знаешь,"" это просто выпивка. Вот и все."	"Да."",,,,,,"
"Ну,"" я... Я заказала завтрак."	"Отлично. Я проголодался."",,,,,,"
"Мам,"" Я должна идти потому что мы пьем горячий шоколад"	"...и Мелинда вернулась."",,,,,,"
Обед.	Ты был действительно хорош с эти мальчиком сегодня.,,,,,,,
Принесли мой праздничный пирог.	Да, ну, загадай желание.,,,,,
И какой нибудь нормальной еды. Здесь слишком много желе.	О боже, я так рада что ты в порядке.,,,,,,
"Эй, Эмили,"" дай детям пирог когда они закончат."	"И для большого стола."",,,,,"
"На Горе Фруктов и Цветов. Его Ки разило как огонь,"" боевая палка казалась волшебной."	"Он защищал порядок на Земле. И целая Нефритовая армия не могла побороть его."",,,,,,"
Каждые 500 лет Нефритовый Император устраивает Персиковый пир.	На нем небесные министры празднуют долголетие. И пьют элексир бессмертия.,,,,,,,
На нем небесные министры празднуют долголетие. И пьют элексир бессмертия.	Один глоток этого небесного напитка дает вечную жизнь,,,,,,,
"Один глоток этого небесного напитка дает вечную жизнь,"""	"свободное от смертных страданий и желаний."",,,,,,"
"#NAME?, девушка, вина. - Друг,"" или не много ты пьешь?"	"Вино дает вдохновение. В одних местах я поэт пустой стакан."",,,,"
"Старик и юноша. Они же пили здесь чай,"" верно?"	"- С ними был воин. Кто еще? - Я не понимаю о чем ты."",,,,,,"
"который так отлично рубит мясо,"" что его чем никогда не затрагивает кость."	"Изучай форму. Но ищи отсутствие формы."",,,,,,"
"- Лу,"" все в порядке? - Пить захотелось."	"Лу!"",,,,,,"
"Есть лишь один элексир бессмертия. Это напиток Императора. Смесь нефрита,"" киновари и серы."	"Он помещен в сосуд"", что находится в нефритовом дворце.,,,,,"
Он продолжал пить пять лет.	Он мог бы умереть в африканской тюрьме, не вмешайся судьба.,,,,,,
"Возможно, ты хочешь немного расслабиться выпивкой,"" Ким."	"- Да иди ты"", Стив. - Слушай, прости, хорошо?,,"
коматозный смертоносный овощ.	Как тебе это, принцесса?,,,,,,
Потом мы накачали его выпивкой и таблетками.	Мы думали, что если его зацепит тоже,,,,,,
Завтра рано утром мясо из Аргентины.	Тиран улицы Мельхиор, Йозеф Герингер.,,,,,,
"Мариэндль, если ты сейчас съешь капусту,"" то завтра получишь мясо!"	"Дочь Лехнеров Мария."",,,,,"
что мяса им не достанется.	Я не могу вернуться домой без мяса!,,,,,,,
Я не могу вернуться домой без мяса!	Две девушки только что постучали в подвальное окошко.,,,,,,,
Я хочу есть! Хочу мясо!	Вы должны мне помочь!,,,,,,,
"Погоди,"" я сейчас сварю тебе горячего супчика."	"Тебе станет лучше."",,,,,,"
"Может быть, мясник снова даст мне мяса,"" если я его попрошу."	"Пожалуйста"", дайте мне кусочек, мой малыш умирает от голода.,,,"
"Ну,"" мяса у меня вдоволь."	"Но не для тебя!"",,,,,,"
"Я так рад,"" что ты не ешь мяса."	"Видите? От вегетарианства всем только плюсы."",,,,,,"
У тебя с этими овощами всё совсем...	...по-серьёзному, так?,,,,,,
"Я так рад,"" что ты не ешь мяса."	"Видите? От вегетарианства всем только плюсы."",,,,,,"
У тебя с этими овощами всё совсем...	...по-серьёзному, так?,,,,,,
Мне нельзя его пить. Иначе я становлюсь болтливым.	Я знаю.,,,,,,,
"Заказ готов! У меня тут Йентльский суп, Джеймс Бобы,"" и Хауди держи Дюди."	"Дорогая"", брось, мне тоже жаль. Я просто...,,,"
"Когда я пью,"" то иногда становлюсь слишком уж дружественным..."	"- ...и я извиняюсь. - Ничего."",,,,,,"
Он даже предложил вместе сходить пообедать и тогда подготовиться к нему.	Это невероятно!,,,,,,,
Этот парень мечты разговаривает с моей подружкой за едой!	Росс, ты то тут совсем ни при чём!,,,,,,
Приходи сегодня к нам я приготовлю твой любимый ужин.	Давай!,,,,,,,
"Надеюсь,"" ты не наелась? Ужин почти готов."	"Да"", знаете, я лучше пойду посижу у себя.,,,,"
Просто поужинай с нами!	Ладно, Джоуи, всё хорошо.,,,,,
Она резала овощи и нож скользнул ей по руке.	Пара швов и с ней всё будет в порядке.,,,,,,,
"Если я зажгу сигару,"" я выдохну на твоё лицо мой обед."	"Все на пол! Чёрт возьми"", Судья!,,,,,"
"Сильвия, Мама придёт на обед. Собирай,"" быстрее."	"Да"", мэм.,,,,"
Уже еду.	Судья, садитесь спереди.,,,,,,
И есть. И пить. Принимать ванну.	Со всем этим покончено.,,,,,,,
Красного. Мы всегда пили красное.	Белое. Я никогда не любила красное.,,,,,,,
"Хорошая еда,"" а?"	"Да"", отличная.,,,,,"
пил козью кровь.	Я проник в Культ Мертвых,,,,,,,
"Я внушил ему,"" что он в холодильнике для мяса."	"И что куда интереснее"", сказал, что этот кубик льда - горящий уголь.,,,,"
Сегодня... на ужине.	Я в тебя влюбилась.,,,,,,,
"Конечно же,"" будете! В ваших завтраках есть майонез?"	"Мама готовила. - Нужно море майонеза!"",,,,,,"
Когда завтрак? Есть хочу.	Сначала позанимаемся. Повторяйте. - Почему у вас лицо красное?,,,,,,,
"Я приготовлю завтраки,"" вы чего хотели бы?"	"Есть салями и ..."",,,,,,"
"Да,"" ты забыл завтрак."	"Фроде"", ты снова забыл.,,,,,"
Завтраки там. Каждому по одному.	Прячемся!,,,,,,,
"Позволь, я приготовлю тебе романтический ужин,"" Лила."	"А где Лила?"",,,,,"
"По правде сказать, она лишь безмозглая куча костей,"" волос и мяса."	"Мне это слышать не обязательно!"",,,,,"
"Позволь, я приготовлю тебе романтический ужин,"" Лила."	"А где Лила?"",,,,,"
"По правде сказать, она лишь безмозглая куча костей,"" волос и мяса."	"Мне это слышать не обязательно!"",,,,,"
В начале каждого месяца привозили еду.	Дай мне сейчас вознестись, только сразу!,,,,,,
"Фонтан,"" я не буду из тебя пить!"	"Играй"", Клод.,,,,,"
"нужно пить шампанское,"""	"рейнское вино - чтобы писать церковную оперу"",,,,,,"
"Например,"" что удерживает нас от употребления в пищу человеческой плоти?"	"Мсье Жуффруа говорит:"",,,,,,"
Я еду в Падую!	Отлично!,,,,,,,
"Ты пишешь так же,"" как я пью."	"Я не ласков…"",,,,,,"
"Принесите пироги,"" хорошо?"	"Да"", сейчас будут.,,,,,"
"Эй,"" Кевин! Обед."	"Слушай"", у меня есть мини-бургеры,,,,,"
"Я пришлю мою девочку после обеда, взглянуть,"""	"уладить все с финансами."",,,,,"
Это энергетический напиток.	У меня похмелье.,,,,,,,
Заставим их приготовить нам достойный ужин.	- Жак? Твои друзья.,,,,,,,
Я пойду помогу Жаку с ужином.	Он считает, что отец - убийца на кухне.,,,,,,
Он не пьет.	Нет, я просто не выпиваю три бутылки вина за один раз.,,,,,,
и суп готов!	Осторожно, ступенька.,,,,,,
"Я думаю,"" что буду баранину и салат."	"Какие планы у остальных?"",,,,,,"
"на еде,"" на тепле и так далее."	"Тебе не будет смешно"", когда придут счета за учебу,,,,,"
водку пью.	Хочешь?,,,,,,,
Как суп?	Многовато...,,,,,,,
"мы устраиваем семейный обед,"""	"чтобы отметить это событие завтра."",,,,,,"
"И я приготовлю тебе суп,"" и я..."	"уложу тебя в кроватку и почитаю тебе книжку."",,,,,,"
Я еду в кулинарную школу.	Во Франции.,,,,,,,
"Это были тарелки с пирогом,"" да?"	"Я думаю"", ей помешало что-то действительно важное.,,,,,"
Прости за ужин.	Что произошло?,,,,,,,
Как прошел ужин?	Прости меня.,,,,,,,
"Я еду в кулинарную школу на следующей неделе,"" во Францию."	"Что?"",,,,,,"
"Хэппи,"" я не пью пиво."	"А"", ок.,,,,,"
Я правда хотела прийти на ужин.	Хорошо.,,,,,,,
Напитки.	Еще по одной.,,,,,,,
Для аналогии вспомни дело лорда Пита Хинговича 1916 года	и посмотри материалы. Ступай.,,,,,,,
Он с невестой дает торжественный обед в честь завтрашней свадьбы.	- В честь чего? - Хотите оставить ему сообщение?,,,,,,,
Не пейте молоко из бутылки!	- Макси! - Мадам Дюфло.,,,,,,,
Иди в сад. Я принесу тебе завтрак.	А попка у него раньше была покрепче.,,,,,,,
"...а виноградники дают вино,"" которое невозможно пить."	"Замечательно."",,,,,,"
"Я полагаю,"" еда у вас просто замечательная."	"Потому что обслуживание откровенно паршивое."",,,,,,"
"Да,"" за здоровье. А что будем кушать?"	"Идите сюда"", мне нужна помощь.,,,,,"
Завтра после обеда я у тебя.	Шикарно. Я предупрежу прислугу и посажу на цепь псов.,,,,,,,
Простой ужин после долго дня работы в поле.	Баклажан.,,,,,,,
"И, наконец,"" рагу из мяса кабана."	"Маринованного в смеси красного вина и крови"", выжатой из туши.,,,,"
"Он сбежал от него,"" чтобы пить и гулять и закончить свою жизнь..."	"...в одиночестве и без всякой любви!"",,,,,,"
Суп вкусный?	Супа больше нет.,,,,,,,
Супа больше нет.	Как и у меня - работы.,,,,,,,
"Что будет ждать тебя после нескольких месяцев еды, питья,"" сна..."	"...и секса? Что останется?"",,,,,"
Обед!	Макс, я же твой лучший друг.,,,,,,
Что вы хотите на ужин?	Пиццу.,,,,,,,
"Раньше я работала там,"" я знаю этих врачей. Я еду."	"Это не безопасно."",,,,,,"
"А я об этом. Может,"" ты и пить с нами не будешь?"	"Может и не буду."",,,,,,"
Вам надо есть больше белого мяса.	На следующий вечер вдова-красотка погрузилась в грезы.,,,,,,,
"Простите,"" у меня деловой завтрак."	"-Полиция. -Я здесь."",,,,,,"
"Может ты знаешь, зачем нужна нефть? Чтобы делать мясо без протеина,"" чулки..."	"Нет"", ты забыл главное. Нефть это тема для разговора.,,,,"
Я еду с этим господином.	Прощайте, Жозеф.,,,,,,
Дорогой друг я хотел бы представить вас моей жене. Она настоятельно приглашает вас к нам на ужин.	-Знаете эта светская жизнь... у меня столько обязательств. -Отложите их мой дорогой друг.,,,,,,,
"Если хотите,"" продолжим ужин с утра. Муж в 10 вечера уезжает в Страсбург."	"Боюсь"", что кофе нам придется пить без него.,,,,,"
"Боюсь,"" что кофе нам придется пить без него."	"Спасибо"", что предупредили. Я захвачу молоко и рогалики.,,,,,"
"— А ничего,"" что это крепкий напиток? — Всё равно!"	"Сестра!"",,,,,,"
"Тогда,"" на него никто и не покушался."	"А потом"", в 66м, я возобновил договор аренды уже на своих условиях.,,,,"
"Но поскольку ты уже больше не пьешь,"" то остается только одно средство."	"Я одолжу твой мотоцикл."",,,,,,"
"Томаса Веллингтона - за этот ужин, за эту неделю,"""	"и самое важное - за то"", что он вырастил самую прекрасную женщину, которую я видел.,,,"
"К ужину он всегда был дома,"""	"учил меня кататься на велосипеде"", был на всех моих выпускных.,,,,,"
собирались пообедать...	Когда мы приехали в клуб,,,,,,,
А за мясом мне все равно ходить приходится.	Неужели, так страшно?,,,,,,
Уберите со стола. Я накрываю ужин. - Сначала я закончу свой рисунок.	Сначала убери.,,,,,,,
Позже я принесу вам ужин.	- Спасибо. - Спасибо.,,,,,,,
За что будем пить?	За счастье супружеской жизни?,,,,,,,
А что пьёт моя ненаглядная дочка?	Я не помню.,,,,,,,
"раз уж мы оба пьём водиночку,"" почему бы нам не заняться этим вместе?"	"Почему нет."",,,,,,"
"Это тоже проблематично,"" потому что он только что ушёл завтракать."	"Я хочу увидеть кого-нибудь из начальства."",,,,,,"
нежное свежее мясо.	«Красивых молодых людей» на китайском сленге.,,,,,,,
Она откусила мое нежное свежее мясо!	Помогите!,,,,,,,
Мое нежное свежее мясо!	Спасибо. Туда-туда!,,,,,,,
Хотелось бы остаться с тобой на завтрак...	но дела ждут.,,,,,,,
Куда в них лезет столько выпивки?	Пьют, как будто завтра - конец света.,,,,,,
"Пьют,"" как будто завтра - конец света."	"Зачем так напиваются?"",,,,,,"
- Хочешь пить? - Ага.	- Держи. - Спасибо.,,,,,,,
"Ты пьёшь мою выпивку,"" урод!"	"Закажи себе сам"", ок?,,,,,"
Тоже пили бы и по шалавам шлялись. Как и все мужики.	Ладно, подруги, замолкните.,,,,,
"ты же знаешь,"" я не пью."	"Затем неожиданно стянул мой свитер..."",,,,,,"
Ты чего? Угостил бы лучше выпивкой.	Знаешь что, Кануто?,,,,,,
"пил бы пиво,"" играл в футбол и подрачивал бы вечерами."	"А потом вдруг появляешься ты в образе доброй феи."",,,,,,"
После обеда отплываем.	А как насчёт зарплаты?,,,,,,,
Сейчас будет обед.	Всё по распорядку.,,,,,,,
"#NAME?,"" Бетти. - Оставайтесь на обед."	"Может быть завтра. Нужно идти."",,,,,,"
"#NAME?,"" ты скоро? Завтракать собираешься?"	"Лина ждёт тебя голодная. -Спасибо."",,,,,,"
"СМЕЁТСЯ Ладно,"" завтракайте."	"Приятного аппетита."",,,,,,"
-А я чай недавно пила.	-Правда. Я воду из фильтра брала.,,,,,,,
-А борщ-то не сварен. -Хватит издеваться.	Да, борщ-то и не сварен.,,,,,,
"Да,"" борщ-то и не сварен."	"Сегодня котлеты на ужин."",,,,,,"
Сегодня котлеты на ужин.	Хочешь поболтать - поехали со мной. -Поехали.,,,,,,,
-Тоже воду из-под крана пила? -Чай.	-Нет отравления. Сейчас поедем в больницу,,,,,,,
Теперь прошу попить-покушать.	Извини за вопрос, но всё равно спрошу.,,,,,,
"-А пить хочешь? -Выпил бы,"" если честно."	"-Ну вот"",,,,,,"
"-Надо много пить и не двигаться. -Это гадюка,"" я со школы помню."	"-Давай. -Да"",,,,,,"
-Поэтому не пьёшь? Типа спортсмен?	-Нет, со спортом давно завязал.,,,,,,
"На рынке абрекам фрукты-овощи поднеси,"" отнеси."	"Или очко кому новое выкопаешь за литрашку или даже полтора."",,,,,,"
Вы чай с сахаром пьёте? -Без.	ТРЕВОЖНАЯ МУЗЫКА,,,,,,,
-Да вижу я, что отравление. Что ели,,,,,,	
нечего было пить за рулём. И этих дураков слушать.	-Вы поймите, если мы составим грамотно иск,,,,,,
Ко мне сегодня поступил пациент, съевший рыбу,,,,,,	
-Я не пью. И Зина тоже.	Мы вместе закодировались, когда решили Ваську запланировать.,,,,,,
-А вы любите вчерашний борщ?	-Обожаю, но не сегодня.,,,,,,
"Кушайте на здоровье -Спасибо,"" Люба."	"-Пожалуйста"",,,,,,"
-Приглашаете малознакомого мужчину на борщ...	А потом, я не верю,,,,,,
-Так я же ничего не сказал -Зато я сказал. Пей компот.	-Алён, дай сказать два слова. Пожалуйста.,,,,,,
"-Может быть,"" зайдёте на ужин?"	"-Всё-таки решили затмить борщом школьный рассольник тёти Любы?"",,,,,,"
-Всё-таки решили затмить борщом школьный рассольник тёти Любы?	-Спасибо.,,,,,,,
-Вы ешьте. Борщ остынет.	-Извините, я не могу.,,,,,,
что для того, чтобы ребёнок родился здоровым,,,,,,	
"-Слушай,"" ты в борщ чабрец-то положила?"	"-Нет."",,,,,,"
"-Всё! Считай,"" пропал борщ. -Думаете?"	"-Ну! Ты кушай"",,,,,,"
"-Ну! Ты кушай,"" кушай. Мне это не мешает."	"Только без чабреца борщ не борщ."",,,,,,"
Только без чабреца борщ не борщ.	Я тебе в следующий раз принесу... -Извините, как вас?,,,,,,
закроем тему борща. Что там у вас произошло? Говорите.	-Так вот. В тот день, когда Васеньку-то убили...,,,,,,
